ranking,top_before,top_after,cambio_esperado,estado
Gold,93113:23;77795:20;67218:18;9825:16;50859:16;78102:16;11443:14;124356:14;104492:13;111919:13;10707:12;12179:12;22508:12;22528:12;81744:12;82435:12;89671:12;100699:12;114815:12;47163:11;50865:11;333:10;37146:10;43187:10;44364:10;47743:10;50908:10;50950:10;51214:10;78441:10;80023:10;80983:10;81402:10;85870:10;89675:10;91944:10;97474:10;106574:10;106803:10;114715:10;114812:10;124381:10;28985:9;43752:9;51194:9;102520:9;122014:9;164169:9;778:8;1953:8,93113:23;77795:20;67218:18;9825:16;50859:16;78102:16;11443:14;124356:14;104492:13;111919:13;10707:12;12179:12;22508:12;22528:12;81744:12;82435:12;89671:12;100699:12;114815:12;47163:11;50865:11;333:10;37146:10;43187:10;44364:10;47743:10;50908:10;50950:10;51214:10;78441:10;80023:10;80983:10;81402:10;85870:10;89675:10;91944:10;97474:10;106574:10;106803:10;114715:10;114812:10;124381:10;28985:9;43752:9;51194:9;102520:9;122014:9;164169:9;778:8;1953:8,Solo eliminaciones 1022,PASS
Silver,50597:12;11431:10;11443:10;22508:10;22515:10;47316:10;81748:10;92527:10;94892:10;117263:9;9825:8;12506:8;12713:8;22499:8;22531:8;22549:8;28313:8;28837:8;47116:8;47405:8;48351:8;48357:8;50604:8;50860:8;80303:8;80378:8;91829:8;93295:8;96868:8;102357:8;102358:8;104245:8;108746:8;111902:8;114819:8;120448:8;333:7;44390:7;44764:7;48537:7;113450:7;9831:6;10104:6;10550:6;10732:6;11903:6;11918:6;12780:6;13264:6;14097:6,50597:12;11431:10;11443:10;22508:10;22515:10;47316:10;81748:10;92527:10;94892:10;117263:9;9825:8;12506:8;12713:8;22499:8;22531:8;22549:8;28313:8;28837:8;47116:8;47405:8;48351:8;48357:8;50604:8;50860:8;80303:8;80378:8;91829:8;93295:8;96868:8;102357:8;102358:8;104245:8;108746:8;111902:8;114819:8;120448:8;333:7;44390:7;44764:7;48537:7;113450:7;9831:6;10104:6;10550:6;10732:6;11903:6;11918:6;12780:6;13264:6;14097:6,Solo eliminaciones 1022,PASS
Bronze,47405:12;71688:12;87293:12;21867:10;22776:10;47293:10;65535:10;79977:10;102358:10;108766:9;126682:9;11825:8;11834:8;13064:8;22778:8;28422:8;49704:8;75867:8;81384:8;88728:8;96103:8;100697:8;126684:8;31148:7;50860:7;116126:7;129909:7;930:6;4724:6;11826:6;12256:6;12658:6;12786:6;13532:6;15468:6;20654:6;22580:6;22790:6;22822:6;23114:6;23425:6;23492:6;28792:6;29025:6;29053:6;29611:6;29637:6;30743:6;34848:6;35162:6,47405:12;71688:12;87293:12;21867:10;22776:10;47293:10;65535:10;79977:10;102358:10;108766:9;126682:9;11825:8;11834:8;13064:8;22778:8;28422:8;49704:8;75867:8;81384:8;88728:8;96103:8;100697:8;126684:8;31148:7;50860:7;116126:7;129909:7;930:6;4724:6;11826:6;12256:6;12658:6;12786:6;13532:6;15468:6;20654:6;22580:6;22790:6;22822:6;23114:6;23425:6;23492:6;28792:6;29025:6;29053:6;29611:6;29637:6;30743:6;34848:6;35162:6,Solo eliminaciones 1022,PASS
Total,93113:28;22508:26;9825:24;11443:24;50859:24;67218:24;102358:24;50860:23;126684:21;47405:20;77795:20;79977:20;81748:20;124356:20;11431:18;22499:18;28985:18;29003:18;43949:18;71688:18;78102:18;78441:18;80303:18;81402:18;82435:18;86842:18;92527:18;114422:18;164169:18;333:17;44390:17;50597:17;10707:16;12179:16;20654:16;28422:16;49704:16;80378:16;80937:16;85056:16;86428:16;89675:16;100697:16;100699:16;108523:16;108766:16;111919:16;10675:15;31000:15;43200:15,93113:28;22508:26;9825:24;11443:24;50859:24;67218:24;102358:24;50860:23;126684:21;47405:20;77795:20;79977:20;81748:20;124356:20;11431:18;22499:18;28985:18;29003:18;43949:18;71688:18;78102:18;78441:18;80303:18;81402:18;82435:18;86842:18;92527:18;114422:18;164169:18;333:17;44390:17;50597:17;10707:16;12179:16;20654:16;28422:16;49704:16;80378:16;80937:16;85056:16;86428:16;89675:16;100697:16;100699:16;108523:16;108766:16;111919:16;10675:15;31000:15;43200:15,Solo eliminaciones 1022,PASS
