alcance,archivo,sha_esperado,sha_actual,estado
intermediate_stability,data/intermediate/matching/sport_discipline_mapping.csv,ea009f6aa54ba451791bdc31607026926ae869e992fe6aab1a18e3ec7eca660c,ea009f6aa54ba451791bdc31607026926ae869e992fe6aab1a18e3ec7eca660c,MATCH
processed_stability,data/processed/entidad_geografica.csv,3630e019afdd63e7afd1e0e98aa60faad7d627113ec45703c9b662bb294ecb67,3630e019afdd63e7afd1e0e98aa60faad7d627113ec45703c9b662bb294ecb67,MATCH
processed_stability,data/processed/poblacion.csv,73b271ae1dcd517538ec9dcb490d24ba54fcb48ac974d25df03fcb43d7026161,73b271ae1dcd517538ec9dcb490d24ba54fcb48ac974d25df03fcb43d7026161,MATCH
processed_stability,data/processed/noc.csv,5b687b1cfd49fa0da323f70dc0d053068fd22767df3a1c09f68e486965d17554,5b687b1cfd49fa0da323f70dc0d053068fd22767df3a1c09f68e486965d17554,MATCH
processed_stability,data/processed/atleta.csv,7eeb08fdc6732120d2d2311183a5f821e71a60cd0f6609dd7a35d44f273ec172,7eeb08fdc6732120d2d2311183a5f821e71a60cd0f6609dd7a35d44f273ec172,MATCH
processed_stability,data/processed/sede.csv,1e3f0148c394460798a1a88259413d9cbfac97aa4257cb0c4896eb5e576d11f5,1e3f0148c394460798a1a88259413d9cbfac97aa4257cb0c4896eb5e576d11f5,MATCH
processed_stability,data/processed/edicion_olimpica.csv,2c51d0a0c43627e182ab6262173327af70ff0e4fa0f62dea7f8bde73964013b1,2c51d0a0c43627e182ab6262173327af70ff0e4fa0f62dea7f8bde73964013b1,MATCH
processed_stability,data/processed/deporte.csv,b096ecfdde1d7abf3eabcfa6ad80a58a485ee5351ea4e053ffd571e373b3738a,b096ecfdde1d7abf3eabcfa6ad80a58a485ee5351ea4e053ffd571e373b3738a,MATCH
processed_stability,data/processed/disciplina.csv,2335e257494e011a86904d00ca87ef3844740a20dd1e39af39e56ddd1e00b3c5,2335e257494e011a86904d00ca87ef3844740a20dd1e39af39e56ddd1e00b3c5,MATCH
processed_stability,data/processed/evento.csv,e32208a49873997e24b9de276e9f2c22357f65ab2d0cd0efacdb22361916424c,e32208a49873997e24b9de276e9f2c22357f65ab2d0cd0efacdb22361916424c,MATCH
processed_stability,data/processed/participacion.csv,39f55f8bbebc9b32d6e9b0102a749bfe404e8ab3ed9fb3f7adf528df4dcc4ec6,39f55f8bbebc9b32d6e9b0102a749bfe404e8ab3ed9fb3f7adf528df4dcc4ec6,MATCH
