fuente,archivo_relativo,nombre_archivo,columna,tipo_deteccion,valor_especial_detectado,frecuencia,ejemplos
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1964,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1965,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1966,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1967,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1968,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1969,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1970,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1971,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1972,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1973,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1974,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1975,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1976,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1977,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1978,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1979,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1980,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1981,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1982,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1983,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1984,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1985,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1986,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1987,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1988,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1989,EMPTY_STRING,<EMPTY_STRING>,2,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1990,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1991,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1992,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1993,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1994,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1995,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1996,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1997,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1998,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,1999,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2000,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2001,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2002,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2003,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2004,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2005,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2006,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2007,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2008,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2009,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2010,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2011,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2012,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2013,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2014,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2015,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2016,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2017,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2018,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2019,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2020,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2021,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2022,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2023,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,year,EMPTY_STRING,<EMPTY_STRING>,2601,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,type,EMPTY_STRING,<EMPTY_STRING>,2601,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,discipline,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,discipline,NON_ASCII,<NON_ASCII>,1,"[""Glíma""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,event,NON_ASCII,<NON_ASCII>,23668,"[""Épée, Individual, Men (Olympic)"",""Sur La Perche À La Herse, Men (Olympic)"",""Au Cordon Doré, 33 metres, Men (Olympic)"",""Au Cordon Doré, 50 metres, Men (Olympic)"",""Sur La Perche À La Pyramide, Men (Olympic)"",""Kayak Relay, 4 × 500 metres, Men (Olympic)"",""¼ mile, Men (Olympic)"",""½ mile, Men (Olympic)"",""½ mile, Handicap, Men (Olympic (non-medal))"",""333⅓ metres Time Trial, Men (Olympic)""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,as,NON_ASCII,<NON_ASCII>,57960,"[""Jean-François Blanchy"",""Élie, Comte de Lastours"",""Étienne Durand"",""Damien Éloi"",""André Gobert"",""René Lacoste"",""Christophe Legoût"",""Édouard Mény de Marangue"",""André Prévost"",""Stéphane Renault""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,noc,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,team,EMPTY_STRING,<EMPTY_STRING>,186694,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,team,NON_ASCII,<NON_ASCII>,3547,"[""René Lacoste"",""Jean-François Blanchy"",""Édouard Mény de Marangue"",""Christophe Legoût"",""André Prévost"",""André Vacherot"",""Étienne Durand"",""Damien Éloi"",""André Gobert"",""Élisabeth d'Ayen""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,place,EMPTY_STRING,<EMPTY_STRING>,25215,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,place,POSITION_CATEGORY,NUMERIC_POSITION,283193,"[""5.0"",""3.0"",""4.0"",""2.0"",""1.0"",""9.0"",""6.0"",""7.0"",""8.0"",""17.0""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,medal,EMPTY_STRING,<EMPTY_STRING>,264269,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,medal,MEDAL_VALUE,<EMPTY_STRING>,264269,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,medal,MEDAL_VALUE,Bronze,14810,"[""Bronze""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,medal,MEDAL_VALUE,Gold,14783,"[""Gold""]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,medal,MEDAL_VALUE,Silver,14546,"[""Silver""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Roles,NON_ASCII,<NON_ASCII>,8374,"[""Competed in Olympic Games • Administrator"",""Competed in Olympic Games • Competed in Intercalated Games • Non-starter"",""Competed in Olympic Games • Competed in Olympic Games (non-medal events)"",""Competed in Olympic Games • Competed in Intercalated Games • Competed in Olympic Games (non-medal events)"",""Competed in Olympic Games • Non-starter"",""Competed in Olympic Games • Competed in Intercalated Games"",""Competed in Olympic Games • Competed in Olympic Games (non-medal events) • Other"",""Competed in Olympic Games • Other"",""Competed in Olympic Games • Referee"",""Competed in Olympic Games • Other • Administrator""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Full name,NON_ASCII,<NON_ASCII>,145271,"[""François Joseph Marie Antoine \""Jean-François\""•Blanchy"",""Arnaud Benjamin•Boetsch"",""Jean Laurent Robert•Borotra"",""Jacques Marie Stanislas Jean•Brugnon"",""Henry Albert•Canet"",""Nicolas•Chatelain"",""Patrick•Chila"",""Henri Jean•Cochet"",""Marcel•Cousin"",""Luc Henri Hervé Guy•Gardye de la Chapelle""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Used name,NON_ASCII,<NON_ASCII>,145500,"[""Jean-François•Blanchy"",""Arnaud•Boetsch"",""Jean•Borotra"",""Jacques•Brugnon"",""Albert•Canet"",""Nicolas•Chatelain"",""Patrick•Chila"",""Henri•Cochet"",""Marcel•Cousin"",""Guy•de la Chapelle""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Born,EMPTY_STRING,<EMPTY_STRING>,1728,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Born,NON_ASCII,<NON_ASCII>,28599,"[""13 August 1898 in Biarritz, Pyrénées-Atlantiques (FRA)"",""14 December 1901 in Villeurbanne, Rhône (FRA)"",""4 August 1896 in Nîmes, Gard (FRA)"",""16 October 1968 in Alès, Gard (FRA)"",""6 August 1973 in Montbéliard, Doubs (FRA)"",""14 February 1970 in Bagnols-sur-Cèze, Gard (FRA)"",""9 December 1972 in Tahiti, Îles du Vent (FPN)"",""6 September 1973 in Montréal, Québec (CAN)"",""14 June 1969 in Mannheim, Baden-Württemberg (GER)"",""4 February 1974 in Bruchsal, Baden-Württemberg (GER)""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Died,EMPTY_STRING,<EMPTY_STRING>,111458,"[""<EMPTY_STRING>""]"
