id_secundario,nombre_secundario,id_canonico,nombre_canonico,norm_name,sexo,nocs,part_secundario,part_canonico
229233,Sara Gomer,48,Sara Gomer,sara gomer,female,78,1,4
229234,Sara Gomer,48,Sara Gomer,sara gomer,female,78,1,4
230779,Alice Greene,51,Alice Greene,alice greene,female,78,1,4
238011,Andrea Holt,54,Andrea Holt,andrea holt,female,78,1,4
260075,Lisa Lomas,58,Lisa Lomas,lisa lomas,female,78,1,5
260076,Lisa Lomas,58,Lisa Lomas,lisa lomas,female,78,1,5
260077,Lisa Lomas,58,Lisa Lomas,lisa lomas,female,78,1,5
301195,Dorothy Shepherd-barron,68,Dorothy Shepherd-Barron,dorothy shepherd-barron,female,78,1,4
325558,Clare Wood,72,Clare Wood,clare wood,female,78,1,10
325559,Clare Wood,72,Clare Wood,clare wood,female,78,1,10
325560,Clare Wood,72,Clare Wood,clare wood,female,78,1,10
325561,Clare Wood,72,Clare Wood,clare wood,female,78,1,10
325854,Joanne Wright-goode,73,Joanne Wright-Goode,joanne wright-goode,female,78,1,8
325855,Joanne Wright-goode,73,Joanne Wright-Goode,joanne wright-goode,female,78,1,8
325856,Joanne Wright-goode,73,Joanne Wright-Goode,joanne wright-goode,female,78,1,8
188840,Simon Archer,75,Simon Archer,simon archer,male,"155,78",2,9
188841,Simon Archer,75,Simon Archer,simon archer,male,"67,78",2,9
188842,Simon Archer,75,Simon Archer,simon archer,male,"67,78",2,9
193447,Alfred Beamish,78,Alfred Beamish,alfred beamish,male,78,1,10
193448,Alfred Beamish,78,Alfred Beamish,alfred beamish,male,78,1,10
193449,Alfred Beamish,78,Alfred Beamish,alfred beamish,male,78,1,10
193450,Alfred Beamish,78,Alfred Beamish,alfred beamish,male,78,1,10
204487,Andrew Castle,82,Andrew Castle,andrew castle,male,78,1,8
