id_evento_secundario,nombre_secundario,id_evento_canonico,nombre_canonico,deporte,disciplina,part_secundario,part_canonico
2331,"Art Competitions Mixed Sculpturing, Statues",658,"Sculpturing, Statues, Open (Olympic)",Art Competitions,Art Competitions,231,1
1929,"Art Competitions Mixed Sculpturing, Unknown Event",659,"Sculpturing, Unknown Event, Open (Olympic)",Art Competitions,Art Competitions,393,2
2243,Sailing Mixed Two Person Keelboat,665,"Two Person Keelboat, Open (Olympic)",Sailing,Sailing,904,650
2001,Shooting Mixed Trap,669,"Trap, Open (Olympic)",Shooting,Shooting,482,363
1965,Shooting Men's Trap,670,"Trap, Men (Olympic)",Shooting,Shooting,1,1044
2288,"Shooting Mixed Free Pistol, 50 metres",674,"Free Pistol, 50 metres, Open (Olympic)",Shooting,Shooting,271,208
2353,"Shooting Mixed Rapid-Fire Pistol, 25 metres",679,"Rapid-Fire Pistol, 25 metres, Open (Olympic)",Shooting,Shooting,256,206
2265,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",680,"Small-Bore Rifle, Three Positions, 50 metres, Open (Olympic)",Shooting,Shooting,291,227
2077,Shooting Men's Skeet,681,"Skeet, Men (Olympic)",Shooting,Shooting,4,453
2471,"Shooting Mixed Running Target, 50 metres",682,"Running Target, 50 metres, Open (Olympic)",Shooting,Shooting,84,74
1993,Shooting Mixed Skeet,683,"Skeet, Open (Olympic)",Shooting,Shooting,571,410
2137,"Shooting Men's Running Target, 50 metres",692,"Running Target, 50 metres, Men (Olympic)",Shooting,Shooting,1,57
2395,"Shooting Men's Running Target, 10 metres",693,"Running Target, 10 metres, Men (Olympic)",Shooting,Shooting,3,111
2350,"Shooting Mixed Free Rifle, Three Positions, 300 metres",725,"Free Rifle, Three Positions, 300 metres, Open (Olympic)",Shooting,Shooting,75,63
2039,Synchronized Swimming Women's Team,755,"Team, Women (Olympic)",Aquatics,Artistic Swimming,489,627
2282,Synchronized Swimming Women's Solo,776,"Solo, Women (Olympic)",Aquatics,Artistic Swimming,202,149
2038,Synchronized Swimming Women's Duet,777,"Duet, Women (Olympic)",Aquatics,Artistic Swimming,444,386
2286,Swimming Men's 100 metres Breaststroke,780,"100 metres Breaststroke, Men (Olympic)",Aquatics,Swimming,2,1007
2191,"Swimming Men's 1,500 metres Freestyle",782,"1,500 metres Freestyle, Men (Olympic)",Aquatics,Swimming,1,1252
2250,Swimming Women's 200 metres Individual Medley,785,"200 metres Individual Medley, Women (Olympic)",Aquatics,Swimming,1,712
2193,Swimming Women's 100 metres Freestyle,788,"100 metres Freestyle, Women (Olympic)",Aquatics,Swimming,3,1754
2078,Swimming Women's 50 metres Freestyle,789,"50 metres Freestyle, Women (Olympic)",Aquatics,Swimming,1,963
2049,Swimming Men's 100 metres Backstroke,792,"100 metres Backstroke, Men (Olympic)",Aquatics,Swimming,1,1442
2249,Swimming Women's 400 metres Freestyle,796,"400 metres Freestyle, Women (Olympic)",Aquatics,Swimming,3,1149
2267,Swimming Women's 800 metres Freestyle,797,"800 metres Freestyle, Women (Olympic)",Aquatics,Swimming,3,613
2248,Swimming Women's 200 metres Freestyle,800,"200 metres Freestyle, Women (Olympic)",Aquatics,Swimming,3,861
2086,Swimming Men's 200 metres Backstroke,802,"200 metres Backstroke, Men (Olympic)",Aquatics,Swimming,1,885
2257,Modern Pentathlon Women's Individual,899,"Individual, Women (Olympic)",Modern Pentathlon,Modern Pentathlon,2,369
906,"Beach Volleyball, Men (Olympic)",909,"Volleyball, Men (Olympic)",Volleyball,Volleyball,503,3208
907,"Beach Volleyball, Women (Olympic)",908,"Volleyball, Women (Olympic)",Volleyball,Volleyball,505,2877
2346,Weightlifting Men's Bantamweight,918,"Bantamweight, Men (Olympic)",Weightlifting,Weightlifting,3,555
2061,Weightlifting Men's Middle-Heavyweight,919,"Middle-Heavyweight, Men (Olympic)",Weightlifting,Weightlifting,1,584
1976,Weightlifting Men's Lightweight,920,"Lightweight, Men (Olympic)",Weightlifting,Weightlifting,1,743
1977,Weightlifting Men's Middleweight,921,"Middleweight, Men (Olympic)",Weightlifting,Weightlifting,1,735
