id_evento_secundario,nombre_secundario,id_evento_canonico,nombre_canonico,deporte,disciplina,part_secundario,part_canonico
1912,Athletics Women's 4 x 100 metres Relay,928,"4 × 100 metres Relay, Women (Olympic)",Athletics,Athletics,1783,1513
2048,Weightlifting Men's Flyweight,929,"Flyweight, Men (Olympic)",Weightlifting,Weightlifting,182,141
2425,"Weightlifting Men's Unlimited, One Hand",932,"Unlimited, One Hand, Men (Olympic)",Weightlifting,Weightlifting,17,1
2071,"Wrestling Men's Light-Heavyweight, Freestyle",934,"Light-Heavyweight, Freestyle, Men (Olympic)",Wrestling,Wrestling Freestyle,502,397
2103,"Wrestling Men's Lightweight, Freestyle",935,"Lightweight, Freestyle, Men (Olympic)",Wrestling,Wrestling Freestyle,593,448
2179,"Wrestling Men's Featherweight, Greco-Roman",937,"Featherweight, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,600,491
2604,"Weightlifting Men's Unlimited, Two Hands",940,"Unlimited, Two Hands, Men (Olympic)",Weightlifting,Weightlifting,23,1
2660,Weightlifting Men's All-Around Dumbbell Contest,941,"All-Around Dumbbell Contest, Men (Olympic)",Weightlifting,Weightlifting,5,2
1994,"Wrestling Men's Featherweight, Freestyle",942,"Featherweight, Freestyle, Men (Olympic)",Wrestling,Wrestling Freestyle,574,458
2246,"Wrestling Men's Light-Flyweight, Freestyle",943,"Light-Flyweight, Freestyle, Men (Olympic)",Wrestling,Wrestling Freestyle,144,114
2092,"Wrestling Men's Bantamweight, Freestyle",944,"Bantamweight, Freestyle, Men (Olympic)",Wrestling,Wrestling Freestyle,424,335
2093,"Wrestling Men's Flyweight, Freestyle",945,"Flyweight, Freestyle, Men (Olympic)",Wrestling,Wrestling Freestyle,306,246
2067,"Wrestling Men's Middleweight, Freestyle",946,"Middleweight, Freestyle, Men (Olympic)",Wrestling,Wrestling Freestyle,524,437
2154,"Wrestling Men's Bantamweight, Greco-Roman",947,"Bantamweight, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,412,337
1970,"Wrestling Men's Heavyweight, Freestyle",948,"Heavyweight, Freestyle, Men (Olympic)",Wrestling,Wrestling Freestyle,437,354
2065,"Wrestling Men's Middleweight, Greco-Roman",949,"Middleweight, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,543,442
2053,"Wrestling Men's Super-Heavyweight, Greco-Roman",950,"Super-Heavyweight, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,248,208
2340,"Wrestling Men's Super-Heavyweight, Freestyle",951,"Super-Heavyweight, Freestyle, Men (Olympic)",Wrestling,Wrestling Freestyle,239,205
2035,"Wrestling Men's Heavyweight, Greco-Roman",952,"Heavyweight, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,456,369
1937,"Wrestling Men's Light-Heavyweight, Greco-Roman",953,"Light-Heavyweight, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,490,412
2059,"Wrestling Men's Flyweight, Greco-Roman",954,"Flyweight, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,260,219
2309,"Wrestling Men's Middleweight B, Greco-Roman",955,"Middleweight B, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,39,29
2128,"Wrestling Men's Middleweight A, Greco-Roman",956,"Middleweight A, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,49,38
2299,"Wrestling Men's Light-Flyweight, Greco-Roman",957,"Light-Flyweight, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,133,110
2641,"Wrestling Men's Unlimited Class, Greco-Roman",971,"Unlimited Class, Greco-Roman, Men (Olympic)",Wrestling,Wrestling Greco-Roman,5,2
976,"880 yards, Handicap, Men (Olympic (non-medal))",973,"Glíma, Men (Olympic (non-medal))",Olympic (non-medal),"Glíma, Men",1,2
978,"Double Sculls, Intermediate, Men (Olympic (non-medal))",973,"Glíma, Men (Olympic (non-medal))",Olympic (non-medal),"Glíma, Men",1,2
979,"Shot Put, Handicap, Men (Olympic (non-medal))",973,"Glíma, Men (Olympic (non-medal))",Olympic (non-medal),"Glíma, Men",1,2
2268,Sailing Women's Two Person Dinghy,980,"Two Person Dinghy, Women (Olympic)",Sailing,Sailing,429,358
1916,Sailing Women's Windsurfer,981,"Windsurfer, Women (Olympic)",Sailing,Sailing,242,211
