etapa,filas,inicio,fin,duracion_segundos,estado
creacion_staging,0,2026-09-09T20:53:02.5971439-06:00,2026-09-09T20:53:03.0934357-06:00,0.496,PASS
carga_staging,1186310,2026-09-09T21:15:35.2572319-06:00,2026-09-09T21:16:03.2217193-06:00,27.964,PASS
validacion_staging,1186310,2026-09-09T21:16:15.1006044-06:00,2026-09-09T21:17:07.6284488-06:00,52.528,PASS
carga_ATLETA,338772,2026-09-09T21:18:45.7900000-06:00,2026-09-09T21:18:50.4036380-06:00,4.614,PASS
carga_PARTICIPACION,826605,2026-09-09T21:18:50.5330000-06:00,2026-09-09T21:19:03.1239950-06:00,12.591,PASS
carga_final_total,1186310,2026-09-09T21:18:45.4698592-06:00,2026-09-09T21:19:03.2570850-06:00,17.787,PASS
creacion_indices,8,2026-09-09T21:19:40.8874958-06:00,2026-09-09T21:19:44.3138746-06:00,3.426,PASS
validacion_final,1186310,2026-09-09T21:22:40.8891610-06:00,2026-09-09T21:22:53.6200167-06:00,12.731,PASS
