entidad,esperado_csv,staging,final_sql,estado
ENTIDAD_GEOGRAFICA,282,282,282,PASS
POBLACION,17024,17024,17024,PASS
NOC,236,236,236,PASS
ATLETA,338772,338772,338772,PASS
SEDE,42,42,42,PASS
EDICION_OLIMPICA,61,61,61,PASS
DEPORTE,65,65,65,PASS
DISCIPLINA,117,117,117,PASS
EVENTO,3106,3106,3106,PASS
PARTICIPACION,826605,826605,826605,PASS
