id_entidad,nombre,codigo_pais
251,Tajikistan,TJK
252,Turkmenistan,TKM
253,Latin America & the Caribbean (IDA & IBRD countries),TLA
254,Timor-Leste,TLS
255,Middle East & North Africa (IDA & IBRD countries),TMN
256,Tonga,TON
257,South Asia (IDA & IBRD),TSA
258,Sub-Saharan Africa (IDA & IBRD countries),TSS
259,Trinidad and Tobago,TTO
260,Tunisia,TUN
261,Turkiye,TUR
262,Tuvalu,TUV
263,Tanzania,TZA
264,Uganda,UGA
265,Ukraine,UKR
266,Upper middle income,UMC
267,Uruguay,URY
268,United States,USA
269,Uzbekistan,UZB
270,St. Vincent and the Grenadines,VCT
271,"Venezuela, RB",VEN
272,British Virgin Islands,VGB
273,Virgin Islands (U.S.),VIR
274,Viet Nam,VNM
275,Vanuatu,VUT
276,World,WLD
277,Samoa,WSM
278,Kosovo,XKX
279,"Yemen, Rep.",YEM
280,South Africa,ZAF
281,Zambia,ZMB
282,Zimbabwe,ZWE
