fuente,valor_fuente,deporte_final,disciplina_final,criterio,evidencia_referencia,estado,filas_afectadas
fuente1,Nordic Combined (Skiing),Skiing,Nordic Combined,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,1759
fuente1,Polo,Polo,Polo,denominación histórica documentada en la evolución del programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,153
fuente1,Racquets,Racquets,Racquets,denominación histórica documentada en la evolución del programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,12
fuente1,Rhythmic Gymnastics (Gymnastics),Gymnastics,Rhythmic Gymnastics,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,755
fuente1,Roller Skating (Roller Sports),Roller Sports,Roller Skating,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,1
fuente1,Roque,Roque,Roque,denominación histórica documentada en la evolución del programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,4
fuente1,Rowing,Rowing,Rowing,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,11267
fuente1,Rugby (Rugby),Rugby,Rugby,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,172
fuente1,Rugby Sevens (Rugby),Rugby,Rugby Sevens,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,603
fuente1,Sailing,Sailing,Sailing,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,6959
