olympedia_edition_id,id_edicion,anio,temporada,olympedia_athlete_id,nombre_referencia,id_atleta_candidato,nombre_local_candidato,filas_edicion_candidato,clasificacion,decision,motivo,candidatos_fuzzy_diagnostico,referencia
13,18,1952,Summer,70923,Luis Velásquez,70399,Luis Velásquez,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/13
17,26,1968,Summer,3739,Eugenio Boches,3728,Eugenio Boches,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,3740,Mario Mendoza,3729,Mario Mendoza,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,14037,Francisco Cuque,13948,Francisco Cuque,4,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,14848,Jorge Inés,14749,Jorge Inés,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,15935,Evaristo Oliva,15825,Evaristo Oliva,4,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,16400,Saturnino Rustrián,16286,Saturnino Rustrián,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25596,Roberto Camposeco,25406,Roberto Camposeco,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25598,Edgar Chacón,25408,Edgar Chacón,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25599,Ricardo Clark,25409,Ricardo Clark,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25604,Julio Rodolfo García,25414,Julio Rodolfo García,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25605,Antonio García,25415,Antonio García,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
