nombre_normalizado,ids_involucrados,identidad_canonica_propuesta,nombre_muestra,clasificacion,evidencia_a_favor,conflictos,participaciones_por_id,cantidad_ids,nota
arnaud boetsch,2;197394,2,Arnaud Boetsch,CONFLICT,nombre_auxiliar_comun,sexo_distinto,2:4;197394:1,2,No se aplica merge; requiere revisión.
jean borotra,3;198421;198422,3,Jean Borotra,CONFLICT,nombre_auxiliar_comun,sexo_distinto,3:6;198421:1;198422:1,3,No se aplica merge; requiere revisión.
jacques brugnon,4;200760;200761,4,Jacques Brugnon,CONFLICT,nombre_auxiliar_comun,sexo_distinto,4:6;200760:1;200761:1,3,No se aplica merge; requiere revisión.
nicolas chatelain,6;205589,6,Nicolas Chatelain,CONFLICT,nombre_auxiliar_comun,sexo_distinto,6:4;205589:1,2,No se aplica merge; requiere revisión.
patrick chila,7;206303;206304;206305;206306;206307,7,Patrick Chila,CONFLICT,nombre_auxiliar_comun,sexo_distinto,7:12;206303:1;206304:1;206305:1;206306:1;206307:1,6,No se aplica merge; requiere revisión.
henri cochet,8;207610,8,Henri Cochet,CONFLICT,nombre_auxiliar_comun,sexo_distinto,8:5;207610:1,2,No se aplica merge; requiere revisión.
guy forget,17;223817;223818;223819,17,Guy Forget,CONFLICT,nombre_auxiliar_comun,sexo_distinto,17:9;223817:1;223818:1;223819:1,4,No se aplica merge; requiere revisión.
jean philippe gatien,18;227040;227041;227042;227043;227044;227045;227046,18,Jean-Philippe Gatien,CONFLICT,nombre_auxiliar_comun,sexo_distinto,18:16;227040:1;227041:1;227042:1;227043:1;227044:1;227045:1;227046:1,8,No se aplica merge; requiere revisión.
paul lecaron,25;256063,25,Paul Lecaron,CONFLICT,nombre_auxiliar_comun,sexo_distinto,25:6;256063:1,2,No se aplica merge; requiere revisión.
henri leconte,26;256135;256136;256137,26,Henri Leconte,CONFLICT,nombre_auxiliar_comun,sexo_distinto,26:8;256135:1;256136:1;256137:1,4,No se aplica merge; requiere revisión.
guillaume raoux,32;289990,32,Guillaume Raoux,CONFLICT,nombre_auxiliar_comun,sexo_distinto,32:4;289990:1,2,No se aplica merge; requiere revisión.
jean pierre samazeuilh,34;296583,34,Jean-Pierre Samazeuilh,CONFLICT,nombre_auxiliar_comun,sexo_distinto,34:6;296583:1,2,No se aplica merge; requiere revisión.
fabrice santoro,35;297342;297343;297344,35,Fabrice Santoro,CONFLICT,nombre_auxiliar_comun,sexo_distinto,35:8;297342:1;297343:1;297344:1,4,No se aplica merge; requiere revisión.
julie bradbury,41;199408;199409,41,Julie Bradbury,CONFLICT,nombre_auxiliar_comun,sexo_distinto,41:6;199408:1;199409:1,3,No se aplica merge; requiere revisión.
sara gomer,48;229233;229234,48,Sara Gomer,CONFLICT,nombre_auxiliar_comun,sexo_distinto,48:4;229233:1;229234:1,3,No se aplica merge; requiere revisión.
alice greene,51;230779,51,Alice Greene,CONFLICT,nombre_auxiliar_comun,sexo_distinto,51:4;230779:1,2,No se aplica merge; requiere revisión.
andrea holt,54;238011,54,Andrea Holt,CONFLICT,nombre_auxiliar_comun,sexo_distinto,54:4;238011:1,2,No se aplica merge; requiere revisión.
lisa lomas,58;260075;260076;260077,58,Lisa Lomas,CONFLICT,nombre_auxiliar_comun,sexo_distinto,58:5;260075:1;260076:1;260077:1,4,No se aplica merge; requiere revisión.
dorothy shepherd barron,68;301195,68,Dorothy Shepherd-Barron,CONFLICT,nombre_auxiliar_comun,sexo_distinto,68:4;301195:1,2,No se aplica merge; requiere revisión.
clare wood,72;325558;325559;325560;325561,72,Clare Wood,CONFLICT,nombre_auxiliar_comun,sexo_distinto,72:10;325558:1;325559:1;325560:1;325561:1,5,No se aplica merge; requiere revisión.
joanne wright goode,73;325854;325855;325856,73,Joanne Wright-Goode,CONFLICT,nombre_auxiliar_comun,sexo_distinto,73:8;325854:1;325855:1;325856:1,4,No se aplica merge; requiere revisión.
simon archer,75;188840;188841;188842,75,Simon Archer,CONFLICT,nombre_auxiliar_comun,sexo_distinto,75:9;188840:2;188841:2;188842:2,4,No se aplica merge; requiere revisión.
alfred beamish,78;193447;193448;193449;193450,78,Alfred Beamish,CONFLICT,nombre_auxiliar_comun,sexo_distinto,78:10;193447:1;193448:1;193449:1;193450:1,5,No se aplica merge; requiere revisión.
andrew castle,82;204487;204488;204489,82,Andrew Castle,CONFLICT,nombre_auxiliar_comun,sexo_distinto,82:8;204487:1;204488:1;204489:1,4,No se aplica merge; requiere revisión.
alan cooke,85;208429;208430,85,Alan Cooke,CONFLICT,nombre_auxiliar_comun,sexo_distinto,85:6;208429:1;208430:1,3,No se aplica merge; requiere revisión.
walter crawley,86;209423,86,Walter Crawley,CONFLICT,nombre_auxiliar_comun,sexo_distinto,86:4;209423:1,2,No se aplica merge; requiere revisión.
charles dixon,87;215797;215798;215799;215800,87,Charles Dixon,CONFLICT,nombre_auxiliar_comun,sexo_distinto,87:10;215797:1;215798:1;215799:1;215800:1,5,No se aplica merge; requiere revisión.
desmond douglas,90;216732,90,Desmond Douglas,CONFLICT,nombre_auxiliar_comun,sexo_distinto,90:4;216732:1,2,No se aplica merge; requiere revisión.
wilberforce eaves,91;218269;218270,91,Wilberforce Eaves,CONFLICT,nombre_auxiliar_comun,sexo_distinto,91:7;218269:1;218270:1,3,No se aplica merge; requiere revisión.
lionel escombe,92;220245,92,Lionel Escombe,CONFLICT,nombre_auxiliar_comun,sexo_distinto,92:4;220245:1,2,No se aplica merge; requiere revisión.
leslie godfree,95;228918,95,Leslie Godfree,CONFLICT,nombre_auxiliar_comun,sexo_distinto,95:4;228918:1,2,No se aplica merge; requiere revisión.
darren hall,98;233235;233236,98,Darren Hall,CONFLICT,nombre_auxiliar_comun,sexo_distinto,98:7;233235:1;233236:1,3,No se aplica merge; requiere revisión.
george hillyard,100;237091,100,George Hillyard,CONFLICT,nombre_auxiliar_comun,sexo_distinto,100:5;237091:1,2,No se aplica merge; requiere revisión.
algernon kingscote,102;248735,102,Algernon Kingscote,CONFLICT,nombre_auxiliar_comun,sexo_distinto,102:4;248735:1,2,No se aplica merge; requiere revisión.
peter knowles,103;249813;249814;249815,103,Peter Knowles,CONFLICT,nombre_auxiliar_comun,sexo_distinto,103:8;249813:1;249814:1;249815:1,4,No se aplica merge; requiere revisión.
arthur lowe,104;260892,104,Arthur Lowe,CONFLICT,nombre_auxiliar_comun,sexo_distinto,104:4;260892:1,2,No se aplica merge; requiere revisión.
harold mahony,106;262821;262822,106,Harold Mahony,CONFLICT,nombre_auxiliar_comun,sexo_distinto,106:8;262821:1;262822:1,3,No se aplica merge; requiere revisión.
theodore mavrogordato,107;266368;266369,107,Theodore Mavrogordato,CONFLICT,nombre_auxiliar_comun,sexo_distinto,107:6;266368:1;266369:1,3,No se aplica merge; requiere revisión.
anders nielsen,108;258430;258431;276214;276215;276216;276217;276218;276219;276220;276221;276222;276223;276224;276225;276226;276227;276253;276254,108,Anders Nielsen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,108:2;258430:1;258431:1;276214:1;276215:1;276216:1;276217:1;276218:1;276219:1;276220:1;276221:1;276222:1;276223:1;276224:1;276225:1;276226:1;276227:1;276253:1;276254:1,19,No se aplica merge; requiere revisión.
arthur norris,109;277251,109,Arthur Norris,CONFLICT,nombre_auxiliar_comun,sexo_distinto,109:7;277251:1,2,No se aplica merge; requiere revisión.
james parke,110;282008,110,James Parke,CONFLICT,nombre_auxiliar_comun,sexo_distinto,110:4;282008:1,2,No se aplica merge; requiere revisión.
carl prean,112;287731;287732;287733;287734,112,Carl Prean,CONFLICT,nombre_auxiliar_comun,sexo_distinto,112:10;287731:1;287732:1;287733:1;287734:1,5,No se aplica merge; requiere revisión.
julian robertson,114;292520;292521,114,Julian Robertson,CONFLICT,nombre_auxiliar_comun,sexo_distinto,114:6;292520:1;292521:1,3,No se aplica merge; requiere revisión.
matthew syed,117;309273,117,Matthew Syed,CONFLICT,nombre_auxiliar_comun,sexo_distinto,117:4;309273:1,2,No se aplica merge; requiere revisión.
archibald warden,119;322383;322384;322385,119,Archibald Warden,CONFLICT,nombre_auxiliar_comun,sexo_distinto,119:6;322383:1;322384:1;322385:1,4,No se aplica merge; requiere revisión.
steffi graf,124;82636,124,Steffi Graf,CONFLICT,nombre_auxiliar_comun,DOB_distinto,124:9;82636:2,2,No se aplica merge; requiere revisión.
anke huber,126;239111;239112,126,Anke Huber,CONFLICT,nombre_auxiliar_comun,sexo_distinto,126:6;239111:1;239112:1,3,No se aplica merge; requiere revisión.
olga nemes,129;275380;275381;275382;275383,129,Olga Nemes,CONFLICT,nombre_auxiliar_comun,sexo_distinto,129:10;275380:1;275381:1;275382:1;275383:1,5,No se aplica merge; requiere revisión.
katja nolten,130;277071,130,Katja Nolten,CONFLICT,nombre_auxiliar_comun,sexo_distinto,130:4;277071:1,2,No se aplica merge; requiere revisión.
katrin schmidt,133;298766;298767,133,Katrin Schmidt,CONFLICT,nombre_auxiliar_comun,sexo_distinto,133:6;298766:1;298767:1,3,No se aplica merge; requiere revisión.
nicole struse,136;307877;307878;307879;307880;307881,136,Nicole Struse,CONFLICT,nombre_auxiliar_comun,sexo_distinto,136:12;307877:1;307878:1;307879:1;307880:1;307881:1,6,No se aplica merge; requiere revisión.
kerstin ubben,137;315703;315704,137,Kerstin Ubben,CONFLICT,nombre_auxiliar_comun,sexo_distinto,137:6;315703:1;315704:1,3,No se aplica merge; requiere revisión.
boris becker,138;193644,138,Boris Becker,CONFLICT,nombre_auxiliar_comun,sexo_distinto,138:4;193644:1,2,No se aplica merge; requiere revisión.
steffen fetzner,140;222562;222563;222564,140,Steffen Fetzner,CONFLICT,nombre_auxiliar_comun,sexo_distinto,140:8;222562:1;222563:1;222564:1,4,No se aplica merge; requiere revisión.
peter franz,141;224484,141,Peter Franz,CONFLICT,nombre_auxiliar_comun,sexo_distinto,141:4;224484:1,2,No se aplica merge; requiere revisión.
otto froitzheim,143;225032,143,Otto Froitzheim,CONFLICT,nombre_auxiliar_comun,sexo_distinto,143:6;225032:1,2,No se aplica merge; requiere revisión.
marc kevin goellner,144;228964,144,Marc-Kevin Goellner,CONFLICT,nombre_auxiliar_comun,sexo_distinto,144:4;228964:1,2,No se aplica merge; requiere revisión.
michael helber,146;235670;235671,146,Michael Helber,CONFLICT,nombre_auxiliar_comun,sexo_distinto,146:6;235670:1;235671:1,3,No se aplica merge; requiere revisión.
eric jelen,148;242569,148,Eric Jelen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,148:4;242569:1,2,No se aplica merge; requiere revisión.
michael keck,149;246476;246477,149,Michael Keck,CONFLICT,nombre_auxiliar_comun,sexo_distinto,149:6;246476:1;246477:1,3,No se aplica merge; requiere revisión.
oskar kreuzer,150;252213;252214,150,Oskar Kreuzer,CONFLICT,nombre_auxiliar_comun,sexo_distinto,150:8;252213:1;252214:1,3,No se aplica merge; requiere revisión.
stephan kuhl,151;252980,151,Stephan Kuhl,CONFLICT,nombre_auxiliar_comun,sexo_distinto,151:4;252980:1,2,No se aplica merge; requiere revisión.
david prinosil,154;287992;287993;287994,154,David Prinosil,CONFLICT,nombre_auxiliar_comun,sexo_distinto,154:8;287992:1;287993:1;287994:1,4,No se aplica merge; requiere revisión.
friedrich wilhelm rahe,155;289289;289290,155,Friedrich-Wilhelm Rahe,CONFLICT,nombre_auxiliar_comun,sexo_distinto,155:6;289289:1;289290:1,3,No se aplica merge; requiere revisión.
heinrich schomburgk,158;299022;299023;299024;299025,158,Heinrich Schomburgk,CONFLICT,nombre_auxiliar_comun,sexo_distinto,158:10;299022:1;299023:1;299024:1;299025:1,5,No se aplica merge; requiere revisión.
carl uwe steeb,160;306428;306429,160,Carl-Uwe Steeb,CONFLICT,nombre_auxiliar_comun,sexo_distinto,160:6;306428:1;306429:1,3,No se aplica merge; requiere revisión.
michael stich,161;307109,161,Michael Stich,CONFLICT,nombre_auxiliar_comun,sexo_distinto,161:4;307109:1,2,No se aplica merge; requiere revisión.
helen amankwah,165;186981,165,Helen Amankwah,CONFLICT,nombre_auxiliar_comun,sexo_distinto,165:5;186981:2,2,No se aplica merge; requiere revisión.
patience opokua,167;279582,167,Patience Opokua,CONFLICT,nombre_auxiliar_comun,sexo_distinto,167:4;279582:1,2,No se aplica merge; requiere revisión.
aristidis akratopoulos,173;185272,173,Aristidis Akratopoulos,CONFLICT,nombre_auxiliar_comun,sexo_distinto,173:5;185272:2,2,No se aplica merge; requiere revisión.
georgios kalovelonis,177;245270,177,Georgios Kalovelonis,CONFLICT,nombre_auxiliar_comun,sexo_distinto,177:4;245270:1,2,No se aplica merge; requiere revisión.
demetrius casdagli,178;204230;204231,178,Demetrius Casdagli,CONFLICT,nombre_auxiliar_comun,sexo_distinto,178:7;204230:1;204231:1,3,No se aplica merge; requiere revisión.
kallinikos kreangka,179;252135;252136;252137;252138;252139;252140;252141,179,Kallinikos Kreangka,CONFLICT,nombre_auxiliar_comun,sexo_distinto,179:16;252135:1;252136:1;252137:1;252138:1;252139:1;252140:1;252141:1,8,No se aplica merge; requiere revisión.
pantelis papadopoulos,180;281617,180,Pantelis Papadopoulos,CONFLICT,nombre_auxiliar_comun,sexo_distinto,180:5;281617:1,2,No se aplica merge; requiere revisión.
dimitrios petrokokkinos,182;284747,182,Dimitrios Petrokokkinos,CONFLICT,nombre_auxiliar_comun,sexo_distinto,182:4;284747:1,2,No se aplica merge; requiere revisión.
evangelos rallis,184;289495,184,Evangelos Rallis,CONFLICT,nombre_auxiliar_comun,sexo_distinto,184:4;289495:1,2,No se aplica merge; requiere revisión.
daniel tsiokas,185;314963;314964;314965,185,Daniel Tsiokas,CONFLICT,nombre_auxiliar_comun,sexo_distinto,185:8;314963:1;314964:1;314965:1,4,No se aplica merge; requiere revisión.
avgoustos zerlentis,186;328468;328469;328470,186,Avgoustos Zerlentis,CONFLICT,nombre_auxiliar_comun,sexo_distinto,186:8;328468:1;328469:1;328470:1,4,No se aplica merge; requiere revisión.
karoly nemeth,224;33878,224,Károly Németh,CONFLICT,nombre_auxiliar_comun,DOB_distinto,224:1;33878:1,2,No se aplica merge; requiere revisión.
sandor noszaly,225;70721,225,Sándor Noszály,CONFLICT,nombre_auxiliar_comun,DOB_distinto,225:3;70721:1,2,No se aplica merge; requiere revisión.
aida steshenko,232;306927,232,Aida Steshenko,CONFLICT,nombre_auxiliar_comun,sexo_distinto,232:4;306927:1,2,No se aplica merge; requiere revisión.
zelin resiana,239;291111,239,Zelin Resiana,CONFLICT,nombre_auxiliar_comun,sexo_distinto,239:4;291111:1,2,No se aplica merge; requiere revisión.
lili tampi,244;310333,244,Lili Tampi,CONFLICT,nombre_auxiliar_comun,sexo_distinto,244:4;310333:1,2,No se aplica merge; requiere revisión.
minarti timur,247;312826,247,Minarti Timur,CONFLICT,nombre_auxiliar_comun,sexo_distinto,247:4;312826:1,2,No se aplica merge; requiere revisión.
rudy gunawan,251;232139,251,Rudy Gunawan,CONFLICT,nombre_auxiliar_comun,sexo_distinto,251:4;232139:1,2,No se aplica merge; requiere revisión.
flandy limpele,257;258703;258704;258705,257,Flandy Limpele,CONFLICT,nombre_auxiliar_comun,sexo_distinto,257:8;258703:1;258704:1;258705:1,4,No se aplica merge; requiere revisión.
rexy mainaky,258;262877;262878,258,Rexy Mainaky,CONFLICT,nombre_auxiliar_comun,sexo_distinto,258:6;262877:1;262878:1,3,No se aplica merge; requiere revisión.
ricky subagja,260;308193;308194,260,Ricky Subagja,CONFLICT,nombre_auxiliar_comun,sexo_distinto,260:6;308193:1;308194:1,3,No se aplica merge; requiere revisión.
anton suseno,265;308728;308729;308730,265,Anton Suseno,CONFLICT,nombre_auxiliar_comun,sexo_distinto,265:8;308728:1;308729:1;308730:1,4,No se aplica merge; requiere revisión.
niyati roy shah,273;294573,273,Niyati Roy-Shah,CONFLICT,nombre_auxiliar_comun,sexo_distinto,273:4;294573:1,2,No se aplica merge; requiere revisión.
vijay amritraj,276;187263,276,Vijay Amritraj,CONFLICT,nombre_auxiliar_comun,sexo_distinto,276:5;187263:2,2,No se aplica merge; requiere revisión.
chetan baboor,277;190642;190643;190644,277,Chetan Baboor,CONFLICT,nombre_auxiliar_comun,sexo_distinto,277:9;190642:2;190643:2;190644:2,4,No se aplica merge; requiere revisión.
deepankar bhattacharya,278;195860;195861,278,Deepankar Bhattacharya,CONFLICT,nombre_auxiliar_comun,sexo_distinto,278:6;195860:1;195861:1,3,No se aplica merge; requiere revisión.
mahesh bhupathi,279;195880;195881;195882;195883,279,Mahesh Bhupathi,CONFLICT,nombre_auxiliar_comun,sexo_distinto,279:10;195880:1;195881:1;195882:1;195883:1,5,No se aplica merge; requiere revisión.
sujay ghorpade,281;228011;228012,281,Sujay Ghorpade,CONFLICT,nombre_auxiliar_comun,sexo_distinto,281:6;228011:1;228012:1,3,No se aplica merge; requiere revisión.
sydney jacob,283;241463;241464,283,Sydney Jacob,CONFLICT,nombre_auxiliar_comun,sexo_distinto,283:6;241463:1;241464:1,3,No se aplica merge; requiere revisión.
ramesh krishnan,284;252256,284,Ramesh Krishnan,CONFLICT,nombre_auxiliar_comun,sexo_distinto,284:4;252256:1,2,No se aplica merge; requiere revisión.
vimal kumar,285;253196,285,Vimal Kumar,CONFLICT,nombre_auxiliar_comun,sexo_distinto,285:4;253196:1,2,No se aplica merge; requiere revisión.
kamlesh mehta,286;267851;267852;267853,286,Kamlesh Mehta,CONFLICT,nombre_auxiliar_comun,sexo_distinto,286:8;267851:1;267852:1;267853:1,4,No se aplica merge; requiere revisión.
leander paes,287;280968;280969;280970;280971;280972;280973;280974;280975;280976;280977,287,Leander Paes,CONFLICT,nombre_auxiliar_comun,sexo_distinto,287:22;280968:1;280969:1;280970:1;280971:1;280972:1;280973:1;280974:1;280975:1;280976:1;280977:1,11,No se aplica merge; requiere revisión.
mohammed sleem,289;303618,289,Mohammed Sleem,CONFLICT,nombre_auxiliar_comun,sexo_distinto,289:4;303618:1,2,No se aplica merge; requiere revisión.
deonne bridger,293;200019;200020,293,Deonne Bridger,CONFLICT,nombre_auxiliar_comun,sexo_distinto,293:6;200019:1;200020:1,3,No se aplica merge; requiere revisión.
carole toy,296;314190,296,Carole Toy,CONFLICT,nombre_auxiliar_comun,sexo_distinto,296:4;314190:1,2,No se aplica merge; requiere revisión.
christopher blake,298;196718;196719,298,Christopher Blake,CONFLICT,nombre_auxiliar_comun,sexo_distinto,298:6;196718:1;196719:1,3,No se aplica merge; requiere revisión.
simon fairweather,300;221026;221027;221028;221029;221030;221031;221032;221033;221034,300,Simon Fairweather,CONFLICT,nombre_auxiliar_comun,sexo_distinto,300:20;221026:1;221027:1;221028:1;221029:1;221030:1;221031:1;221032:1;221033:1;221034:1,10,No se aplica merge; requiere revisión.
jackson fear,301;221631,301,Jackson Fear,CONFLICT,nombre_auxiliar_comun,sexo_distinto,301:4;221631:1,2,No se aplica merge; requiere revisión.
grant greenham,303;230806,303,Grant Greenham,CONFLICT,nombre_auxiliar_comun,sexo_distinto,303:4;230806:1,2,No se aplica merge; requiere revisión.
scott hunter russell,304;239581;239582;239583,304,Scott Hunter-Russell,CONFLICT,nombre_auxiliar_comun,sexo_distinto,304:8;239581:1;239582:1;239583:1,4,No se aplica merge; requiere revisión.
rodney wagner,307;321564,307,Rodney Wagner,CONFLICT,nombre_auxiliar_comun,sexo_distinto,307:4;321564:1,2,No se aplica merge; requiere revisión.
alphonse allaert,313;186310;186311,313,Alphonse Allaert,CONFLICT,nombre_auxiliar_comun,sexo_distinto,313:4;186310:2;186311:2,3,No se aplica merge; requiere revisión.
edmond cloetens,316;207518;207519;207520,316,Edmond Cloetens,CONFLICT,nombre_auxiliar_comun,sexo_distinto,316:6;207518:1;207519:1;207520:1,4,No se aplica merge; requiere revisión.
robert cogniaux,317;207750;207751,317,Robert Cogniaux,CONFLICT,nombre_auxiliar_comun,sexo_distinto,317:6;207750:1;207751:1,3,No se aplica merge; requiere revisión.
louis delcon,322;213994;213995,322,Louis Delcon,CONFLICT,nombre_auxiliar_comun,sexo_distinto,322:3;213994:1;213995:1,3,No se aplica merge; requiere revisión.
firmin flamand,325;223212;223213;223214,325,Firmin Flamand,CONFLICT,nombre_auxiliar_comun,sexo_distinto,325:6;223212:1;223213:1;223214:1,4,No se aplica merge; requiere revisión.
joseph hermans,327;236306;236307;236308,327,Joseph Hermans,CONFLICT,nombre_auxiliar_comun,sexo_distinto,327:6;236306:1;236307:1;236308:1,4,No se aplica merge; requiere revisión.
francis notenboom,328;277323,328,Francis Notenboom,CONFLICT,nombre_auxiliar_comun,sexo_distinto,328:4;277323:1,2,No se aplica merge; requiere revisión.
paul vermeiren,336;319563;319564;319565,336,Paul Vermeiren,CONFLICT,nombre_auxiliar_comun,sexo_distinto,336:8;319563:1;319564:1;319565:1,4,No se aplica merge; requiere revisión.
namgyal lhamu,341;257970,341,Namgyal Lhamu,CONFLICT,nombre_auxiliar_comun,sexo_distinto,341:4;257970:1,2,No se aplica merge; requiere revisión.
pem tshering,342;314939,342,Pem Tshering,CONFLICT,nombre_auxiliar_comun,sexo_distinto,342:4;314939:1,2,No se aplica merge; requiere revisión.
karma tshomo,343;314944,343,Karma Tshomo,CONFLICT,nombre_auxiliar_comun,sexo_distinto,343:4;314944:1,2,No se aplica merge; requiere revisión.
thinley dorji,345;216493;216494,345,Thinley Dorji,CONFLICT,nombre_auxiliar_comun,sexo_distinto,345:6;216493:1;216494:1,3,No se aplica merge; requiere revisión.
jubzang jubzang,346;244620;244621;244622,346,Jubzang Jubzang,CONFLICT,nombre_auxiliar_comun,sexo_distinto,346:8;244620:1;244621:1;244622:1,4,No se aplica merge; requiere revisión.
karma tenzin,348;311327,348,Karma Tenzin,CONFLICT,nombre_auxiliar_comun,sexo_distinto,348:4;311327:1,2,No se aplica merge; requiere revisión.
jigme tshering,349;314938,349,Jigme Tshering,CONFLICT,nombre_auxiliar_comun,sexo_distinto,349:4;314938:1,2,No se aplica merge; requiere revisión.
pema tshering,351;314940;314941;314942,351,Pema Tshering,CONFLICT,nombre_auxiliar_comun,sexo_distinto,351:8;314940:1;314941:1;314942:1,4,No se aplica merge; requiere revisión.
ivan ivanov,359;725;29274;41117;51444;54901;57004;57005;76870;92847;115851;131995;133272;160179;160180;241106;241107;241108;241109;241110;241111;241112;241114;241115;241116;241117;241118;241119;241120;250365;250366,29274,Ivan Ivanov,CONFLICT,nombre_auxiliar_comun,DOB_distinto;sexo_distinto,359:2;725:4;29274:14;41117:2;51444:1;54901:3;57004:2;57005:1;76870:4;92847:6;115851:1;131995:2;133272:2;160179:1;160180:1;241106:1;241107:1;241108:1;241109:1;241110:1;241111:1;241112:1;241114:1;241115:1;241116:1;241117:1;241118:1;241119:1;241120:1;250365:1;250366:1,31,No se aplica merge; requiere revisión.
wanda allan sadegur,362;186346,362,Wanda Allan-Sadegur,CONFLICT,nombre_auxiliar_comun,sexo_distinto,362:5;186346:2,2,No se aplica merge; requiere revisión.
lucille lemay,366;257107,366,Lucille Lemay,CONFLICT,nombre_auxiliar_comun,sexo_distinto,366:4;257107:1,2,No se aplica merge; requiere revisión.
sylvain cadieux,369;202346,369,Sylvain Cadieux,CONFLICT,nombre_auxiliar_comun,sexo_distinto,369:4;202346:1,2,No se aplica merge; requiere revisión.
denis canuel,370;203256,370,Denis Canuel,CONFLICT,nombre_auxiliar_comun,sexo_distinto,370:4;203256:1,2,No se aplica merge; requiere revisión.
daniel desnoyers,371;214602,371,Daniel Desnoyers,CONFLICT,nombre_auxiliar_comun,sexo_distinto,371:4;214602:1,2,No se aplica merge; requiere revisión.
don jackson,374;86729,374,Don Jackson,CONFLICT,nombre_auxiliar_comun,DOB_distinto,374:2;86729:2,2,No se aplica merge; requiere revisión.
john mcdonald,376;266989,376,John McDonald,CONFLICT,nombre_auxiliar_comun,sexo_distinto,376:4;266989:1,2,No se aplica merge; requiere revisión.
jeannot robitaille,378;292661;292662;292663,378,Jeannot Robitaille,CONFLICT,nombre_auxiliar_comun,sexo_distinto,378:8;292661:1;292662:1;292663:1,4,No se aplica merge; requiere revisión.
claude rousseau,379;294478,379,Claude Rousseau,CONFLICT,nombre_auxiliar_comun,sexo_distinto,379:4;294478:1,2,No se aplica merge; requiere revisión.
kevin sally,381;296394,381,Kevin Sally,CONFLICT,nombre_auxiliar_comun,sexo_distinto,381:4;296394:1,2,No se aplica merge; requiere revisión.
he ying,382;235229;235230;235231;235232;235233,382,He Ying,CONFLICT,nombre_auxiliar_comun,sexo_distinto,382:12;235229:1;235230:1;235231:1;235232:1;235233:1,6,No se aplica merge; requiere revisión.
ma xiangjun,384;261901;261902;261903,384,Ma Xiangjun,CONFLICT,nombre_auxiliar_comun,sexo_distinto,384:8;261901:1;261902:1;261903:1,4,No se aplica merge; requiere revisión.
ma shaorong,385;261899,385,Ma Shaorong,CONFLICT,nombre_auxiliar_comun,sexo_distinto,385:4;261899:1,2,No se aplica merge; requiere revisión.
wang hong,386;322108,386,Wang Hong,CONFLICT,nombre_auxiliar_comun,sexo_distinto,386:4;322108:1,2,No se aplica merge; requiere revisión.
wang jin,387;33099;133944;181892;181893,133944,Wang Jin,CONFLICT,nombre_auxiliar_comun,DOB_distinto;sexo_distinto,387:1;33099:1;133944:1;181892:1;181893:1,5,No se aplica merge; requiere revisión.
wang xiaozhu,388;322242;322243;322244,388,Wang Xiaozhu,CONFLICT,nombre_auxiliar_comun,sexo_distinto,388:8;322242:1;322243:1;322244:1,4,No se aplica merge; requiere revisión.
wu yanan,389;107637;120071;182501;182502;182503;325963;325964,107637,Wu Yanan,CONFLICT,nombre_auxiliar_comun,DOB_distinto;sexo_distinto,389:1;107637:2;120071:1;182501:2;182502:1;182503:1;325963:1;325964:1,8,No se aplica merge; requiere revisión.
yang jianping,390;326574;326575;326576,390,Yang Jianping,CONFLICT,nombre_auxiliar_comun,sexo_distinto,390:8;326574:1;326575:1;326576:1,4,No se aplica merge; requiere revisión.
yao yawen,391;326698,391,Yao Yawen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,391:4;326698:1,2,No se aplica merge; requiere revisión.
duoji qiuyun,392;217791,392,Duoji Qiuyun,CONFLICT,nombre_auxiliar_comun,sexo_distinto,392:4;217791:1,2,No se aplica merge; requiere revisión.
fu shengjun,394;225133;225134;225135,394,Fu Shengjun,CONFLICT,nombre_auxiliar_comun,sexo_distinto,394:8;225133:1;225134:1;225135:1,4,No se aplica merge; requiere revisión.
hao wei,395;234199,395,Hao Wei,CONFLICT,nombre_auxiliar_comun,sexo_distinto,395:4;234199:1,2,No se aplica merge; requiere revisión.
liang qiang,396;258350,396,Liang Qiang,CONFLICT,nombre_auxiliar_comun,sexo_distinto,396:4;258350:1,2,No se aplica merge; requiere revisión.
liang qiuzhong,397;258352,397,Liang Qiuzhong,CONFLICT,nombre_auxiliar_comun,sexo_distinto,397:4;258352:1,2,No se aplica merge; requiere revisión.
luo hengyu,398;261537,398,Luo Hengyu,CONFLICT,nombre_auxiliar_comun,sexo_distinto,398:4;261537:1,2,No se aplica merge; requiere revisión.
ru guang,399;294690,399,Ru Guang,CONFLICT,nombre_auxiliar_comun,sexo_distinto,399:4;294690:1,2,No se aplica merge; requiere revisión.
shen jun,400;91528;301174,91528,Shen Jun,CONFLICT,nombre_auxiliar_comun,DOB_distinto;sexo_distinto,400:4;91528:2;301174:1,3,No se aplica merge; requiere revisión.
tang hua,401;310532;310533;310534,401,Tang Hua,CONFLICT,nombre_auxiliar_comun,sexo_distinto,401:8;310532:1;310533:1;310534:1,4,No se aplica merge; requiere revisión.
patricia obregon,406;48787,48787,Patricia Obregón,CONFLICT,nombre_auxiliar_comun,DOB_distinto,406:1;48787:2,2,No se aplica merge; requiere revisión.
