nombre_normalizado,ids_involucrados,identidad_canonica_propuesta,nombre_muestra,clasificacion,evidencia_a_favor,conflictos,participaciones_por_id,cantidad_ids,nota
adolf gruber,231509;231510;231511,231509,Adolf Gruber,REVIEW,nombre_auxiliar_comun,,231509:1;231510:1;231511:1,3,No se aplica merge; requiere revisión.
jess huncal,231512;231513,231512,Jess Huncal,REVIEW,nombre_auxiliar_comun,,231512:1;231513:1,2,No se aplica merge; requiere revisión.
james gruenwald,231535;231536,231535,James Gruenwald,REVIEW,nombre_auxiliar_comun,,231535:1;231536:1,2,No se aplica merge; requiere revisión.
daniel gruesobarco,231537;231538,231537,Daniel Gruesobarco,REVIEW,nombre_auxiliar_comun,,231537:1;231538:1,2,No se aplica merge; requiere revisión.
valerie slowing,231539;231540,231539,Valerie Slowing,REVIEW,nombre_auxiliar_comun,,231539:1;231540:1,2,No se aplica merge; requiere revisión.
ruth hatyina,231549;231550;231551;231552;231553;231554;231555,231549,Ruth (-hatyina),REVIEW,nombre_auxiliar_comun,,231549:1;231550:1;231551:1;231552:1;231553:1;231554:1;231555:1,7,No se aplica merge; requiere revisión.
angelina hbner,231560;231561,231560,Angelina (-hbner),REVIEW,nombre_auxiliar_comun,,231560:1;231561:1,2,No se aplica merge; requiere revisión.
wilhelm grner,231566;231567,231566,Wilhelm Grner,REVIEW,nombre_auxiliar_comun,,231566:1;231567:1,2,No se aplica merge; requiere revisión.
martina abresch,231568;231569;231570;231571;231572;231573;231574,231568,Martina -abresch),REVIEW,nombre_auxiliar_comun,,231568:1;231569:1;231570:1;231571:1;231572:1;231573:1;231574:1,7,No se aplica merge; requiere revisión.
dariusz grzywiski,231618;231619,231618,Dariusz Grzywiski,REVIEW,nombre_auxiliar_comun,,231618:1;231619:1,2,No se aplica merge; requiere revisión.
tage grndahl,231621;231622;231623,231621,Tage Grndahl,REVIEW,nombre_auxiliar_comun,,231621:1;231622:1;231623:1,3,No se aplica merge; requiere revisión.
tage grnne,231624;231625;231626;231627;231628;231629;231630;231631,231624,Tage Grnne,REVIEW,nombre_auxiliar_comun,,231624:1;231625:1;231626:1;231627:1;231628:1;231629:1;231630:1;231631:1,8,No se aplica merge; requiere revisión.
karoline grvdal,231634;231635;231636,231634,Karoline Grvdal,REVIEW,nombre_auxiliar_comun,,231634:1;231635:1;231636:1,3,No se aplica merge; requiere revisión.
bayron cruz,231655;231656,231655,Bayron Cruz,REVIEW,nombre_auxiliar_comun,,231655:1;231656:1,2,No se aplica merge; requiere revisión.
alvaro saenz,231667;231668,231667,Alvaro Saenz,REVIEW,nombre_auxiliar_comun,,231667:1;231668:1,2,No se aplica merge; requiere revisión.
jorge hay,231672;231673,231672,Jorge Hay,REVIEW,nombre_auxiliar_comun,,231672:1;231673:1,2,No se aplica merge; requiere revisión.
ricardo huertas,231682;231683;231684;231685,231682,Ricardo Huertas,REVIEW,nombre_auxiliar_comun,,231682:1;231683:1;231684:1;231685:1,4,No se aplica merge; requiere revisión.
christopher guccione,231696;231697;231698,231696,Christopher Guccione,REVIEW,nombre_auxiliar_comun,,231696:1;231697:1;231698:1,3,No se aplica merge; requiere revisión.
franziska lwe,231715;231716,231715,Franziska (-lwe),REVIEW,nombre_auxiliar_comun,,231715:1;231716:1,2,No se aplica merge; requiere revisión.
tatiana guderzo,231717;231718;231719;231720;231721;231722;231723;231724,231717,Tatiana Guderzo,REVIEW,nombre_auxiliar_comun,,231717:1;231718:1;231719:1;231720:1;231721:1;231722:1;231723:1;231724:1,8,No se aplica merge; requiere revisión.
maurice vallerin,231725;231726,231725,Maurice Vallerin,REVIEW,nombre_auxiliar_comun,,231725:1;231726:1,2,No se aplica merge; requiere revisión.
enrique fernndez,231734;289030;289031,231734,Enrique Fernndez,REVIEW,nombre_auxiliar_comun,,231734:1;289030:1;289031:1,3,No se aplica merge; requiere revisión.
javier snchez,231736;231737;260399;260400;260401,231736,Javier Snchez,REVIEW,nombre_auxiliar_comun,,231736:1;231737:1;260399:1;260400:1;260401:1,5,No se aplica merge; requiere revisión.
antoinette mouafo,231738;231739,231738,Antoinette Mouafo,REVIEW,nombre_auxiliar_comun,,231738:1;231739:1,2,No se aplica merge; requiere revisión.
german soltero,231763;231764,231763,German Soltero,REVIEW,nombre_auxiliar_comun,,231763:1;231764:1,2,No se aplica merge; requiere revisión.
danielle mnard,231765;231766,231765,Danielle (-mnard),REVIEW,nombre_auxiliar_comun,,231765:1;231766:1,2,No se aplica merge; requiere revisión.
christophe gunot,231769;231770,231769,Christophe Gunot,REVIEW,nombre_auxiliar_comun,,231769:1;231770:1,2,No se aplica merge; requiere revisión.
steeve gunot,231771;231772,231771,Steeve Gunot,REVIEW,nombre_auxiliar_comun,,231771:1;231772:1,2,No se aplica merge; requiere revisión.
jaime piedra,231799;231800;231801;231802,231799,Jaime Piedra,REVIEW,nombre_auxiliar_comun,,231799:1;231800:1;231801:1;231802:1,4,No se aplica merge; requiere revisión.
jos oliva,231805;231806;231807;231808;231809;231810,231805,Jos Oliva,REVIEW,nombre_auxiliar_comun,,231805:1;231806:1;231807:1;231808:1;231809:1;231810:1,6,No se aplica merge; requiere revisión.
jos iglesias,231811;231812;231813,231811,Jos Iglesias,REVIEW,nombre_auxiliar_comun,,231811:1;231812:1;231813:1,3,No se aplica merge; requiere revisión.
lisandra rodriguez,231814;231815;231816;231817;231818,231814,Lisandra Rodriguez,REVIEW,nombre_auxiliar_comun,,231814:1;231815:1;231816:1;231817:1;231818:1,5,No se aplica merge; requiere revisión.
manuel prez,231821;231822;231823,231821,Manuel Prez,REVIEW,nombre_auxiliar_comun,,231821:1;231822:1;231823:1,3,No se aplica merge; requiere revisión.
maria guerra,231824;231825;231826,231824,Maria Guerra,REVIEW,nombre_auxiliar_comun,,231824:1;231825:1;231826:1,3,No se aplica merge; requiere revisión.
patricia cabrera,231827;231828,231827,Patricia Cabrera,REVIEW,nombre_auxiliar_comun,,231827:1;231828:1,2,No se aplica merge; requiere revisión.
