tipo,filtro,deporte,rango,id_atleta,atleta,medallas_crudas,medallas_preview,clasificacion
ranking_global,Total,,8,93113,Michael Phelps,60,60,RAW_EQUALS_PREVIEW
ranking_global,Total,,9,30904,William Thoresson,60,60,RAW_EQUALS_PREVIEW
ranking_global,Total,,10,29278,Yordan Yovchev,60,60,RAW_EQUALS_PREVIEW
ranking_global,Total,,11,21435,Ivan Osiier,59,59,RAW_EQUALS_PREVIEW
ranking_global,Total,,12,29091,Oksana Chusovitina,59,59,RAW_EQUALS_PREVIEW
ranking_global,Total,,13,42350,Alexandros Theofilakis,58,58,RAW_EQUALS_PREVIEW
ranking_global,Total,,14,43823,Eric Carlberg,57,57,RAW_EQUALS_PREVIEW
ranking_global,Total,,15,75674,Eric Lemming,57,57,RAW_EQUALS_PREVIEW
ranking_global,Total,,16,22776,Arie de Jong,56,56,RAW_EQUALS_PREVIEW
ranking_global,Total,,17,81384,Gabriella Paruzzi,50,50,RAW_EQUALS_PREVIEW
ranking_global,Total,,18,30798,Georges Miez,50,50,RAW_EQUALS_PREVIEW
ranking_global,Total,,19,31000,Nikolay Andrianov,49,49,RAW_EQUALS_PREVIEW
ranking_global,Total,,20,90777,Alberto Busnari,48,48,RAW_EQUALS_PREVIEW
