id_evento_a,id_evento_b,nombre_a,nombre_b,deporte,disciplina,contexto,confianza,clasificacion
1,19,"Singles, Men (Olympic)","Singles, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=21,media,REVIEW_ALIAS
1,26,"Singles, Men (Olympic)","Singles, Women (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
1,36,"Singles, Men (Olympic)","Singles, Women (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2,3,"Doubles, Men (Olympic)","Doubles, Mixed (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=71,media,REVIEW_ALIAS
2,27,"Doubles, Men (Olympic)","Doubles, Women (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2,38,"Doubles, Men (Olympic)","Doubles, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=15,media,REVIEW_ALIAS
2,3083,"Doubles, Men (Olympic)",Mixed Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
3,27,"Doubles, Mixed (Olympic)","Doubles, Women (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=51,media,REVIEW_ALIAS
3,38,"Doubles, Mixed (Olympic)","Doubles, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
3,3083,"Doubles, Mixed (Olympic)",Mixed Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
6,30,"Singles, Handicap, Men (Olympic (non-medal))","Singles, Handicap, Women (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
7,20,"Doubles, Handicap, Men (Olympic (non-medal))","Doubles, Handicap, Mixed (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=8,media,REVIEW_ALIAS
14,1187,"Singles, Men (Intercalated)","Singles, Women (Intercalated)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
15,16,"Doubles, Mixed (Intercalated)","Doubles, Men (Intercalated)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=2,media,REVIEW_ALIAS
17,21,"Doubles, Covered Courts, Mixed (Olympic)","Doubles, Covered Courts, Men (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=4,media,REVIEW_ALIAS
17,2329,"Doubles, Covered Courts, Mixed (Olympic)","Tennis Mixed Doubles, Covered Courts",Tennis,Tennis,misma disciplina; jaccard=0.75; overlap=11,media,REVIEW_ALIAS
18,25,"Singles, Covered Courts, Men (Olympic)","Singles, Covered Courts, Women (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
19,26,"Singles, Men (Olympic (non-medal))","Singles, Women (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
19,36,"Singles, Men (Olympic (non-medal))","Singles, Women (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
21,2329,"Doubles, Covered Courts, Men (Olympic)","Tennis Mixed Doubles, Covered Courts",Tennis,Tennis,misma disciplina; jaccard=0.75; overlap=1,media,REVIEW_ALIAS
22,23,Polo,"Polo, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=1,media,REVIEW_ALIAS
26,36,"Singles, Women (Olympic)","Singles, Women (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
27,38,"Doubles, Women (Olympic)","Doubles, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
27,3083,"Doubles, Women (Olympic)",Mixed Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
38,3083,"Doubles, Men (Olympic (non-medal))",Mixed Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
66,146,"Long Jump, Men (Olympic)","Long Jump, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
1992,2410,Tennis Men's Doubles,Tennis Women's Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2091,2408,Tennis Men's Singles,Tennis Women's Singles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2263,2529,"Tennis Women's Singles, Covered Courts","Tennis Men's Singles, Covered Courts",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2329,2528,"Tennis Mixed Doubles, Covered Courts","Tennis Men's Doubles, Covered Courts",Tennis,Tennis,misma disciplina; jaccard=0.80; overlap=2,media,REVIEW_ALIAS
2830,2897,Women's Singles,Men's Singles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2898,2908,Men's Doubles Team,Women's Doubles Team,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
3054,3075,Men's Doubles,Women's Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
4,31,"Singles, Men (Olympic)","Singles, Women (Olympic)",Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
5,32,"Doubles, Men (Olympic)","Doubles, Women (Olympic)",Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
5,1475,"Doubles, Men (Olympic)","Doubles, Mixed (Olympic)",Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
32,1475,"Doubles, Women (Olympic)","Doubles, Mixed (Olympic)",Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
37,54,"Team, Women (Olympic)","Team, Men (Olympic)",Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2075,2180,Table Tennis Women's Singles,Table Tennis Men's Singles,Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2076,2245,Table Tennis Women's Doubles,Table Tennis Men's Doubles,Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2141,2513,Table Tennis Men's Team,Table Tennis Women's Team,Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
8,408,"Épée, Individual, Men (Olympic)","Épée, Individual, Women (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
11,13,"Doubles, Handicap, Mixed (Olympic (non-medal))","Doubles, Handicap, Men (Olympic (non-medal))",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=1,media,REVIEW_ALIAS
228,1471,"Sabre, Team, Men (Olympic)","Sabre, Team, Women (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
241,1470,"Sabre, Individual, Men (Olympic)","Sabre, Individual, Women (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
358,406,"Foil, Individual, Men (Olympic)","Foil, Individual, Women (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
407,410,"Foil, Team, Women (Olympic)","Foil, Team, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
409,411,"Épée, Team, Women (Olympic)","Épée, Team, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
423,424,Hockey,"Hockey, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
434,440,"100 metres, Professionals, Men (Olympic (non-medal))","100 metres, Professionals, Handicap, Men (Olympic (non-medal))",Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=1,media,REVIEW_ALIAS
435,441,"400 metres, Professionals, Men (Olympic (non-medal))","400 metres, Professionals, Handicap, Men (Olympic (non-medal))",Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=1,media,REVIEW_ALIAS
437,442,"High Jump, Professionals, Men (Olympic (non-medal))","High Jump, Professionals, Handicap, Men (Olympic (non-medal))",Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=1,media,REVIEW_ALIAS
438,443,"Long Jump, Professionals, Men (Olympic (non-medal))","Long Jump, Professionals, Handicap, Men (Olympic (non-medal))",Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=1,media,REVIEW_ALIAS
439,444,"Shot Put, Professionals, Men (Olympic (non-medal))","Shot Put, Professionals, Handicap, Men (Olympic (non-medal))",Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=1,media,REVIEW_ALIAS
450,768,"Dueling Pistol, 30 metres, Team, Men (Olympic)","Dueling Pistol, 30 metres, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=0.80; overlap=0,media,REVIEW_ALIAS
465,1621,"Foil, Individual, Boys (Olympic (non-medal))","Foil, Individual, Boys (YOG)",Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
761,762,"Free Pistol, 50 yards, Men (Olympic)","Free Pistol, 50 yards, Team, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=0.80; overlap=1,media,REVIEW_ALIAS
764,765,"Small-Bore Rifle, Disappearing Target, 25 yards, Men (Olympic)","Small-Bore Rifle, Moving Target, 25 yards, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=1,media,REVIEW_ALIAS
764,771,"Small-Bore Rifle, Disappearing Target, 25 yards, Men (Olympic)","Small-Bore Rifle, Disappearing Target, 25 metres, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
766,767,"Free Pistol, 50 metres, Men (Olympic)","Free Pistol, 50 metres, Team, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=0.80; overlap=0,media,REVIEW_ALIAS
771,772,"Small-Bore Rifle, Disappearing Target, 25 metres, Men (Olympic)","Small-Bore Rifle, Disappearing Target, 25 metres, Team, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=0.88; overlap=0,media,REVIEW_ALIAS
1955,2242,"Fencing Men's Foil, Individual","Fencing Women's Foil, Individual",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
1955,2427,"Fencing Men's Foil, Individual","Fencing Men's Foil, Masters, Individual",Fencing,Fencing,misma disciplina; jaccard=0.80; overlap=0,media,REVIEW_ALIAS
1955,2731,"Fencing Men's Foil, Individual",Men's Foil Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
1955,2945,"Fencing Men's Foil, Individual",Women's Foil Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
1956,2083,"Fencing Men's epee, Individual","Fencing Women's epee, Individual",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
1956,2428,"Fencing Men's epee, Individual","Fencing Men's epee, Masters, Individual",Fencing,Fencing,misma disciplina; jaccard=0.80; overlap=0,media,REVIEW_ALIAS
1956,2706,"Fencing Men's epee, Individual",Women's Épée Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
1956,2955,"Fencing Men's epee, Individual",Men's Épée Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
1957,2432,"Fencing Men's epee, Team","Fencing Women's epee, Team",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
1957,2956,"Fencing Men's epee, Team",Men's Épée Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
1957,2968,"Fencing Men's epee, Team",Women's Épée Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2004,2212,"Fencing Men's Foil, Team","Fencing Women's Foil, Team",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2004,2732,"Fencing Men's Foil, Team",Men's Foil Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2004,2946,"Fencing Men's Foil, Team",Women's Foil Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2005,2344,"Fencing Men's Sabre, Team","Fencing Women's Sabre, Team",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2005,2722,"Fencing Men's Sabre, Team",Men's Sabre Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2005,2906,"Fencing Men's Sabre, Team",Women's Sabre Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2052,2378,"Fencing Men's Sabre, Individual","Fencing Men's Sabre, Masters, Individual",Fencing,Fencing,misma disciplina; jaccard=0.80; overlap=0,media,REVIEW_ALIAS
2052,2474,"Fencing Men's Sabre, Individual","Fencing Women's Sabre, Individual",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2052,2721,"Fencing Men's Sabre, Individual",Men's Sabre Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2052,2905,"Fencing Men's Sabre, Individual",Women's Sabre Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2083,2428,"Fencing Women's epee, Individual","Fencing Men's epee, Masters, Individual",Fencing,Fencing,misma disciplina; jaccard=0.80; overlap=0,media,REVIEW_ALIAS
2083,2706,"Fencing Women's epee, Individual",Women's Épée Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2083,2955,"Fencing Women's epee, Individual",Men's Épée Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2212,2732,"Fencing Women's Foil, Team",Men's Foil Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2212,2946,"Fencing Women's Foil, Team",Women's Foil Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2242,2427,"Fencing Women's Foil, Individual","Fencing Men's Foil, Masters, Individual",Fencing,Fencing,misma disciplina; jaccard=0.80; overlap=0,media,REVIEW_ALIAS
2242,2731,"Fencing Women's Foil, Individual",Men's Foil Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2242,2945,"Fencing Women's Foil, Individual",Women's Foil Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2344,2722,"Fencing Women's Sabre, Team",Men's Sabre Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2344,2906,"Fencing Women's Sabre, Team",Women's Sabre Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2378,2474,"Fencing Men's Sabre, Masters, Individual","Fencing Women's Sabre, Individual",Fencing,Fencing,misma disciplina; jaccard=0.80; overlap=0,media,REVIEW_ALIAS
2432,2956,"Fencing Women's epee, Team",Men's Épée Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2432,2968,"Fencing Women's epee, Team",Women's Épée Team,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2474,2721,"Fencing Women's Sabre, Individual",Men's Sabre Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2474,2905,"Fencing Women's Sabre, Individual",Women's Sabre Individual,Fencing,Fencing,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
2706,2955,Women's Épée Individual,Men's Épée Individual,Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2721,2905,Men's Sabre Individual,Women's Sabre Individual,Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2722,2906,Men's Sabre Team,Women's Sabre Team,Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2731,2945,Men's Foil Individual,Women's Foil Individual,Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2732,2946,Men's Foil Team,Women's Foil Team,Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2956,2968,Men's Épée Team,Women's Épée Team,Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
24,33,"Singles, Men (Olympic)","Singles, Women (Olympic)",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
24,35,"Singles, Men (Olympic)","Singles, Men (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
24,99,"Singles, Men (Olympic)","Singles, Women (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
28,29,"Doubles, Women (Olympic)","Doubles, Mixed (Olympic)",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=57,media,REVIEW_ALIAS
28,34,"Doubles, Women (Olympic)","Doubles, Men (Olympic)",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
28,97,"Doubles, Women (Olympic)","Doubles, Women (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
28,98,"Doubles, Women (Olympic)","Doubles, Men (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
28,100,"Doubles, Women (Olympic)","Doubles, Mixed (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
28,3027,"Doubles, Women (Olympic)",Mixed Doubles,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
29,34,"Doubles, Mixed (Olympic)","Doubles, Men (Olympic)",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=34,media,REVIEW_ALIAS
29,97,"Doubles, Mixed (Olympic)","Doubles, Women (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
29,98,"Doubles, Mixed (Olympic)","Doubles, Men (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
29,100,"Doubles, Mixed (Olympic)","Doubles, Mixed (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
29,3027,"Doubles, Mixed (Olympic)",Mixed Doubles,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
33,35,"Singles, Women (Olympic)","Singles, Men (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
33,99,"Singles, Women (Olympic)","Singles, Women (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
34,97,"Doubles, Men (Olympic)","Doubles, Women (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
34,98,"Doubles, Men (Olympic)","Doubles, Men (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
34,100,"Doubles, Men (Olympic)","Doubles, Mixed (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
34,3027,"Doubles, Men (Olympic)",Mixed Doubles,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
35,99,"Singles, Men (Olympic (non-medal))","Singles, Women (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
97,98,"Doubles, Women (Olympic (non-medal))","Doubles, Men (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
97,100,"Doubles, Women (Olympic (non-medal))","Doubles, Mixed (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
97,3027,"Doubles, Women (Olympic (non-medal))",Mixed Doubles,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
98,100,"Doubles, Men (Olympic (non-medal))","Doubles, Mixed (Olympic (non-medal))",Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
98,3027,"Doubles, Men (Olympic (non-medal))",Mixed Doubles,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
100,3027,"Doubles, Mixed (Olympic (non-medal))",Mixed Doubles,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
1915,2089,Badminton Men's Singles,Badminton Women's Singles,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2321,2363,Badminton Men's Doubles,Badminton Women's Doubles,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2707,2725,Women's Singles,Men's Singles,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2796,2981,Men's Doubles Team,Women's Doubles Team,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
3037,3038,Men's Doubles,Women's Doubles,Badminton,Badminton,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
39,338,"Hockey, Men (Olympic)","Hockey, Women (Olympic)",Hockey,Hockey,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2734,2826,Men Team,Women Team,Hockey,Hockey,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
43,1025,"100 metres, Men (Olympic)","100 metres, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
44,339,"400 metres, Men (Olympic)","400 metres, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
45,1015,"800 metres, Men (Olympic)","800 metres, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
46,542,"110 metres Hurdles, Men (Olympic)","110 metres Hurdles, Men (Intercalated)",Athletics,Athletics,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
46,1092,"110 metres Hurdles, Men (Olympic)","110 metres Hurdles, Handicap, Men (Olympic (non-medal))",Athletics,Athletics,misma disciplina; jaccard=0.75; overlap=4,media,REVIEW_ALIAS
47,388,"High Jump, Men (Olympic)","High Jump, Men (Olympic (non-medal))",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=1,media,REVIEW_ALIAS
47,1024,"High Jump, Men (Olympic)","High Jump, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
48,496,"Pole Vault, Men (Olympic)","Pole Vault, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
48,1169,"Pole Vault, Men (Olympic)","Pole Vault, Men (Olympic (non-medal))",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
49,927,"Long Jump, Men (Olympic)","Long Jump, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
49,1104,"Long Jump, Men (Olympic)","Long Jump, Men (Olympic (non-medal))",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=2,media,REVIEW_ALIAS
50,153,"Triple Jump, Men (Olympic)","Triple Jump, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
50,1105,"Triple Jump, Men (Olympic)","Triple Jump, Men (Olympic (non-medal))",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
95,1016,"1,500 metres, Men (Olympic)","1,500 metres, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
95,1042,"1,500 metres, Men (Olympic)","1,500 metres, Men (Intercalated)",Athletics,Athletics,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
95,1075,"1,500 metres, Men (Olympic)","1,500 metres, Handicap, Men (Olympic (non-medal))",Athletics,Athletics,misma disciplina; jaccard=0.75; overlap=4,media,REVIEW_ALIAS
96,1029,"Marathon, Men (Olympic)","Marathon, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
153,1105,"Triple Jump, Women (Olympic)","Triple Jump, Men (Olympic (non-medal))",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
262,1019,"3,000 metres, Women (Olympic)","3,000 metres Steeplechase, Men (Olympic)",Athletics,Athletics,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
262,1061,"3,000 metres, Women (Olympic)","3,000 metres, Team, Men (Olympic)",Athletics,Athletics,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
262,1083,"3,000 metres, Women (Olympic)","3,000 metres Steeplechase, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
340,476,"4 × 400 metres Relay, Women (Olympic)","4 × 400 metres Relay, Men (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
340,1499,"4 × 400 metres Relay, Women (Olympic)","4 × 400 metres Relay, Mixed (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=18,media,REVIEW_ALIAS
376,1057,"Discus Throw, Greek Style, Men (Intercalated)","Discus Throw, Greek Style, Men (Olympic)",Athletics,Athletics,misma disciplina; jaccard=0.80; overlap=0,media,REVIEW_ALIAS
379,735,"Unlimited, Two Hands, Men (Intercalated)","Unlimited, Two Hands, Men (Olympic)",Athletics,Athletics,misma disciplina; jaccard=0.75; overlap=0,media,REVIEW_ALIAS
383,1030,"Shot Put, Men (Olympic)","Shot Put, Women (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
383,1157,"Shot Put, Men (Olympic)","Shot Put, Men (Olympic (non-medal))",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=3,media,REVIEW_ALIAS
385,386,Tug-Of-War,"Tug-Of-War, Men (Olympic)",Athletics,Athletics,misma disciplina; jaccard=1.00; overlap=13,media,REVIEW_ALIAS
385,548,Tug-Of-War,"Tug-Of-War, Men (Intercalated)",Athletics,Athletics,misma disciplina; jaccard=0.75; overlap=4,media,REVIEW_ALIAS
