id_atleta,atleta,anio,temporada,codigo_noc,evento,id_evento,medalla,posicion,edad,equipo
121191,Érick Barrondo,2012,Summer,GUA,"20 kilometres Race Walk, Men (Olympic)",1021,Silver,2,,
147606,Erick Bernab Barrondo Garca,2012,Summer,GUA,Athletics Men's 20 kilometres Walk,2218,Silver,,21,Guatemala
192591,Erick Garca,2012,Summer,GUA,Athletics Men's 20 kilometres Walk,2218,Silver,,,Guatemala
337121,Pierre Brol,2024,Summer,GUA,"Trap, Men (Olympic)",670,Bronze,,,Guatemala
140041,Adriana Ruano,2024,Summer,GUA,"Trap, Women (Olympic)",687,Gold,,,Guatemala
