olympedia_edition_id,anio,temporada,id_edicion_local,olympedia_athlete_id,nombre_referencia,nombre_normalizado,estados_observados,referencia,contado_en_referencia_263,motivo_referencia
17,1968,Summer,26,25636,Jeron Slusher,jeronslusher,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,25637,David Stokes,davidstokes,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,25638,Hugo Torres,hugotorres,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,25639,Carlos Valdez,carlosvaldez,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,25640,Luis Villavicencio,luisvillavicencio,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,42692,Otto Brolo,ottobrolo,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,42693,Gerardo Castañeda,gerardocastaneda,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,42694,Víctor Castellanos,victorcastellanos,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,42696,Leonel Fernández,leonelfernandez,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,42700,José Marroquín,josemarroquin,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,42702,Felipe Ortiz,felipeortiz,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,42706,Fernando Samoyoa,fernandosamoyoa,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,42709,Francisco Sandoval,franciscosandoval,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,42711,Pablo Sittler,pablosittler,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,48005,Silvana Asturias,silvanaasturias,DNS,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,48008,Ramiro Benavides,ramirobenavides,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,48012,Antonio Cruz,antoniocruz,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,55914,Francisco Echeverría,franciscoecheverria,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,58519,Ángel Aldana,angelaldana,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,58523,José Luis García,joseluisgarcia,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,58526,José Manuel Hernández,josemanuelhernandez,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,58530,Gustavo Ramírez,gustavoramirez,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,58532,Javier Raxón,javierraxon,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,70904,Carlos Cuque,carloscuque,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,70910,Fulgencio Hernández,fulgenciohernandez,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,70915,Julio Ortiz,julioortiz,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,70917,Teodoro Palacios,teodoropalacios,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,70918,Julio Quevedo,julioquevedo,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
18,1972,Summer,28,42694,Víctor Castellanos,victorcastellanos,,https://www.olympedia.org/countries/GUA/editions/18,YES,Participante de referencia.
18,1972,Summer,28,58520,Joseph Burge,josephburge,,https://www.olympedia.org/countries/GUA/editions/18,YES,Participante de referencia.
18,1972,Summer,28,58521,Juan de Hernández,juandehernandez,,https://www.olympedia.org/countries/GUA/editions/18,YES,Participante de referencia.
18,1972,Summer,28,58522,Luis Fuentes,luisfuentes,DNS,https://www.olympedia.org/countries/GUA/editions/18,YES,Participante de referencia.
18,1972,Summer,28,58529,Pedro Piñeda,pedropineda,,https://www.olympedia.org/countries/GUA/editions/18,YES,Participante de referencia.
18,1972,Summer,28,70904,Carlos Cuque,carloscuque,,https://www.olympedia.org/countries/GUA/editions/18,YES,Participante de referencia.
18,1972,Summer,28,70907,Luis Flores,luisflores,DNF,https://www.olympedia.org/countries/GUA/editions/18,YES,Participante de referencia.
18,1972,Summer,28,70918,Julio Quevedo,julioquevedo,,https://www.olympedia.org/countries/GUA/editions/18,YES,Participante de referencia.
18,1972,Summer,28,2404575,Samuel Gonzales,samuelgonzales,DNS,https://www.olympedia.org/countries/GUA/editions/18,NO,No starter en la tabla de resultados (DNS/DNF-only); excluido del conteo Olympedia 263.
18,1972,Summer,28,2404577,Rafael Pedroza,rafaelpedroza,DNS,https://www.olympedia.org/countries/GUA/editions/18,NO,No starter en la tabla de resultados (DNS/DNF-only); excluido del conteo Olympedia 263.
19,1976,Summer,30,11306,Rita Mombiela,ritamombiela,DNF,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,11307,Sylvia Luna,sylvialuna,DNF,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,12412,Oswaldo Méndez,oswaldomendez,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25593,Julio Anderson,julioanderson,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25595,Edgar Bolaños,edgarbolanos,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25602,Marco Fión,marcofion,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25604,Julio Rodolfo García,juliorodolfogarcia,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25607,Julio Gómez,juliogomez,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25610,Jorge Hurtarte,jorgehurtarte,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25615,Félix McDonald,felixmcdonald,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25619,Benjamín Monterroso,benjaminmonterroso,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25620,Carlos Monterroso,carlosmonterroso,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25623,René Morales,renemorales,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25627,Selvin Pennant,selvinpennant,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25629,Ricardo Piccinini,ricardopiccinini,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25630,Sergio Rivera,sergiorivera,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25633,Óscar Sánchez,oscarsanchez,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25635,Peter Sandoval,petersandoval,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25640,Luis Villavicencio,luisvillavicencio,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,25641,Allan Wellman,allanwellman,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,42695,Eduardo Echeverría,eduardoecheverria,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,42697,Víctor Giordani,victorgiordani,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,42699,Arturo Iglesias,arturoiglesias,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,42703,Francisco Romero Arribas,franciscoromeroarribas,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,42712,Edgardo Zachrisson,edgardozachrisson,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,55918,Edgar Tornez,edgartornez,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,62869,Juan Maegli,juanmaegli,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,63735,Jorge Springmühl,jorgespringmuhl,,https://www.olympedia.org/countries/GUA/editions/19,YES,Participante de referencia.
19,1976,Summer,30,2305533,Ricardo Cordón,ricardocordon,DNS,https://www.olympedia.org/countries/GUA/editions/19,NO,No starter en la tabla de resultados (DNS/DNF-only); excluido del conteo Olympedia 263.
19,1976,Summer,30,2305834,Rafael Coronado,rafaelcoronado,DNS,https://www.olympedia.org/countries/GUA/editions/19,NO,No starter en la tabla de resultados (DNS/DNF-only); excluido del conteo Olympedia 263.
20,1980,Summer,32,12412,Oswaldo Méndez,oswaldomendez,,https://www.olympedia.org/countries/GUA/editions/20,YES,Participante de referencia.
20,1980,Summer,32,38091,Alberic de Suremain,albericdesuremain,,https://www.olympedia.org/countries/GUA/editions/20,YES,Participante de referencia.
20,1980,Summer,32,38092,Édgar Nanne,edgarnanne,,https://www.olympedia.org/countries/GUA/editions/20,YES,Participante de referencia.
20,1980,Summer,32,42699,Arturo Iglesias,arturoiglesias,,https://www.olympedia.org/countries/GUA/editions/20,YES,Participante de referencia.
20,1980,Summer,32,42703,Francisco Romero Arribas,franciscoromeroarribas,,https://www.olympedia.org/countries/GUA/editions/20,YES,Participante de referencia.
20,1980,Summer,32,42705,Francisco Romero Portilla,franciscoromeroportilla,,https://www.olympedia.org/countries/GUA/editions/20,YES,Participante de referencia.
20,1980,Summer,32,42710,Carlos Silva,carlossilva,,https://www.olympedia.org/countries/GUA/editions/20,YES,Participante de referencia.
20,1980,Summer,32,42713,Mario-Óscar Zachrisson,mariooscarzachrisson,,https://www.olympedia.org/countries/GUA/editions/20,YES,Participante de referencia.
20,1980,Summer,32,55917,Luis Rosito,luisrosito,,https://www.olympedia.org/countries/GUA/editions/20,YES,Participante de referencia.
