caso,fase,posicion,atleta,id_atleta,medallas,estado,detalle
ranking_Gymnastics_Bronze,actual,7,Shannon Miller,29053,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,actual,8,Yordan Yovchev,29278,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,actual,9,Michael Nikolay,29996,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,actual,10,Franco Menichelli,30296,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,preview,1,Margit Korondi,28422,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,preview,2,William Merz,31148,7,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,preview,3,Gina Gogean,28792,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,preview,4,Dominique Dawes,29025,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,preview,5,Shannon Miller,29053,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,preview,6,Heikki Savolainen,29611,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,preview,7,Aleksey Nemov,30743,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,preview,8,Aliya Mustafina,118714,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,preview,9,Maxi Gnauck,28288,4,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,preview,10,Sonia Iovan-Inovan,28804,4,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,actual,1,Nikolay Andrianov,31000,30,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,actual,2,Sawao Kato,30361,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,actual,3,Aleksey Nemov,30743,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,actual,4,Akinori Nakayama,30376,20,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,actual,5,Aleksandr Dityatin,31009,20,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,actual,6,Larisa Latynina,28985,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,actual,7,Lyudmila Turishcheva,29003,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,actual,8,Heikki Savolainen,29611,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,actual,9,Eizo Kenmotsu,30363,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,actual,10,Mitsuo Tsukahara,30388,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,preview,1,Larisa Latynina,28985,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,preview,2,Lyudmila Turishcheva,29003,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,preview,3,Larysa Semenivna Latynina (Diriy-),164169,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,preview,4,Margit Korondi,28422,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,preview,5,Nikolay Andrianov,31000,15,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,preview,6,Svetlana Khorkina,28837,14,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,preview,7,Shannon Miller,29053,14,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,preview,8,Aliya Mustafina,118714,14,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,preview,9,Takashi Ono,30379,13,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_TOTAL,preview,10,Boris Shakhlin,31032,13,PASS,Ranking calculado directamente desde PARTICIPACION.
youngest_gold,preview,,Hans Bourquin; Donna de Varona; Fu Mingxia; Marjorie Gestring; Aileen Riggin; Klaus Zerta,39397|50644|45727|50670|50810|37757,13.0,PASS,23 conflictos individuales conservados en gold_age_conflicts_review.csv.
Guy_Forget,preview,,Guy Forget,17,9,PASS,Se reasignan participaciones compatibles; no se eliminan identidades duplicadas.
Eric_Lemming,preview,,Eric Lemming,75674,57,REVIEW,No se fusiona: los eventos Intercalated/Olympic y las fuentes requieren revisión histórica.
