caso,fase,posicion,atleta,id_atleta,medallas,estado,detalle
ranking_global_Silver,actual,7,Gustavo Marzi,22515,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,8,Nikolay Andrianov,31000,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,9,Viktor Lisitsky,31019,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,10,Yury Titov,31037,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,1,Shirley Babashoff,50597,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,2,Anky van Grunsven,11431,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,3,Isabell Werth,11443,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,4,Edoardo Mangiarotti,22508,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,5,Gustavo Marzi,22515,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,6,Dagmar Hase,47316,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,7,Raisa Smetanina,81748,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,8,Leisel Jones,92527,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,9,Bogdan Musiol,94892,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,10,Charlotte Kalla,117263,9,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,actual,1,Heikki Savolainen,29611,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,actual,2,Aleksey Nemov,30743,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,actual,3,Franziska van Almsick,47405,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,actual,4,Merlene Ottey-Page,71688,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,actual,5,Harri Kirvesniemi,87293,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,actual,6,Daniel Revenu,21867,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,actual,7,Arie de Jong,22776,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,actual,8,Antje Buschschulte,47293,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,actual,9,Phil Edwards,65535,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,actual,10,Stefania Belmondo,79977,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,preview,1,Franziska van Almsick,47405,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,preview,2,Merlene Ottey-Page,71688,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,preview,3,Harri Kirvesniemi,87293,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,preview,4,Daniel Revenu,21867,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,preview,5,Arie de Jong,22776,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,preview,6,Antje Buschschulte,47293,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,preview,7,Phil Edwards,65535,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,preview,8,Stefania Belmondo,79977,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,preview,9,Natalie Coughlin,102358,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Bronze,preview,10,Arianna Fontana,108766,9,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,actual,1,Michael Phelps,93113,56,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,actual,2,Nikolay Andrianov,31000,30,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,actual,3,Edoardo Mangiarotti,22508,26,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,actual,4,Birgit Fischer-Schmidt,9825,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,actual,5,Isabell Werth,11443,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,actual,6,Sawao Kato,30361,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,actual,7,Aleksey Nemov,30743,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,actual,8,Jenny Thompson,50859,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,actual,9,Dara Torres,50860,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,actual,10,Paavo Nurmi,67218,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,preview,1,Michael Phelps,93113,28,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,preview,2,Edoardo Mangiarotti,22508,26,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,preview,3,Birgit Fischer-Schmidt,9825,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,preview,4,Isabell Werth,11443,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,preview,5,Jenny Thompson,50859,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,preview,6,Paavo Nurmi,67218,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,preview,7,Natalie Coughlin,102358,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,preview,8,Dara Torres,50860,23,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,preview,9,Emma McKeon,126684,21,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_TOTAL,preview,10,Franziska van Almsick,47405,20,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,actual,1,Ray Ewry,77795,20,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,actual,2,Paavo Nurmi,67218,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,actual,3,Carl Lewis,78102,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,actual,4,Usain Bolt,104492,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,actual,5,Martin Sheridan,78441,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,actual,6,Betty Cuthbert,64026,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,actual,7,Hannes Kolehmainen,67131,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,actual,8,Fanny Blankers-Koen,73150,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,actual,9,Robert Korzeniowski,74189,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,actual,10,Eric Lemming,75674,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,preview,1,Ray Ewry,77795,20,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,preview,2,Paavo Nurmi,67218,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,preview,3,Carl Lewis,78102,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,preview,4,Usain Bolt,104492,13,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,preview,5,Martin Sheridan,78441,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,preview,6,Betty Cuthbert,64026,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,preview,7,Hannes Kolehmainen,67131,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,preview,8,Fanny Blankers-Koen,73150,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,preview,9,Eric Lemming,75674,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Gold,preview,10,Evelyn Ashford,77159,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,actual,1,Frankie Fredericks,73121,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,actual,2,Shelly-Ann Fraser-Pryce,113450,7,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,actual,3,Raelene Boyle,64008,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,actual,4,Paavo Nurmi,67218,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,actual,5,Alain Mimoun,67894,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,actual,6,Ernie Webb,69052,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,actual,7,Merlene Ottey-Page,71688,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,actual,8,Herb McKenley,71764,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,actual,9,Irv Baxter,77500,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,actual,10,Martin Sheridan,78441,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,preview,1,Shelly-Ann Fraser-Pryce,113450,7,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,preview,2,Raelene Boyle,64008,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,preview,3,Paavo Nurmi,67218,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,preview,4,Alain Mimoun,67894,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,preview,5,Ernie Webb,69052,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,preview,6,Merlene Ottey-Page,71688,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,preview,7,Frankie Fredericks,73121,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,preview,8,Irv Baxter,77500,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,preview,9,Martin Sheridan,78441,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Silver,preview,10,Veronica Campbell-Brown,86428,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,actual,1,Merlene Ottey-Page,71688,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,actual,2,Phil Edwards,65535,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,actual,3,Edvin Wide,75867,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,actual,4,Shirley Strickland de la Hunty,64099,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,actual,5,Stan Rowley,64308,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,actual,6,Alex Wilson,65784,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,actual,7,Kathy Smallwood-Cook,68265,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,actual,8,Eric Backman,75481,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,actual,9,Ato Boldon,76323,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,actual,10,Tirunesh Dibaba,103976,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,preview,1,Merlene Ottey-Page,71688,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,preview,2,Phil Edwards,65535,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,preview,3,Edvin Wide,75867,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,preview,4,Shirley Strickland de la Hunty,64099,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,preview,5,Alex Wilson,65784,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,preview,6,Kathy Smallwood-Cook,68265,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,preview,7,Eric Backman,75481,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,preview,8,Tirunesh Dibaba,103976,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,preview,9,Stan Rowley,64308,5,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_Bronze,preview,10,Eric Lemming,75674,5,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,actual,1,Paavo Nurmi,67218,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,actual,2,Ray Ewry,77795,20,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,actual,3,Carl Lewis,78102,20,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,actual,4,Merlene Ottey-Page,71688,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,actual,5,Martin Sheridan,78441,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,actual,6,Veronica Campbell-Brown,86428,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,actual,7,Usain Bolt,104492,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,actual,8,Shirley Strickland de la Hunty,64099,14,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,actual,9,Shelly-Ann Fraser-Pryce,113450,14,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,actual,10,Eric Lemming,75674,13,PASS,Ranking calculado directamente desde PARTICIPACION.
