archivo,cantidad_duplicados,columnas_involucradas,muestra_casos,accion
data/raw/fuente1/clean/results.csv,126,"[""year"",""type"",""discipline"",""event"",""as"",""athlete_id"",""noc"",""team"",""place"",""tied"",""medal""]","[{""year"":""1932.0"",""type"":""Summer"",""discipline"":""Art Competitions"",""event"":""Painting, Unknown Event, Open (Olympic)"",""as"":""Helen Wills"",""athlete_id"":""2744"",""noc"":""USA"",""team"":"""",""place"":"""",""tied"":""False"",""medal"":""""},{""year"":""1932.0"",""type"":""Summer"",""discipline"":""Art Competitions"",""event"":""Painting, Unknown Event, Open (Olympic)"",""as"":""Helen Wills"",""athlete_id"":""2744"",""noc"":""USA"",""team"":"""",""place"":"""",""tied"":""False"",""medal"":""""},{""year"":""1932.0"",""type"":""Summer"",""discipline"":""Art Competitions"",""event"":""Painting, Unknown Event, Open (Olympic)"",""as"":""Helen Wills"",""athlete_id"":""2744"",""noc"":""USA"",""team"":"""",""place"":"""",""tied"":""False"",""medal"":""""}]",No eliminados; quedan para análisis posterior.
data/raw/fuente1/raw/results.csv,110,"[""Games"",""Event"",""Team"",""Pos"",""Medal"",""As"",""athlete_id"",""NOC"",""Discipline"",""Nationality"",""Unnamed: 7""]","[{""Games"":""1932 Summer Olympics"",""Event"":""Painting, Unknown Event, Open (Olympic)"",""Team"":"""",""Pos"":""AC"",""Medal"":"""",""As"":""Helen Wills"",""athlete_id"":""2744"",""NOC"":""USA"",""Discipline"":""Art Competitions"",""Nationality"":"""",""Unnamed: 7"":""""},{""Games"":""1932 Summer Olympics"",""Event"":""Painting, Unknown Event, Open (Olympic)"",""Team"":"""",""Pos"":""AC"",""Medal"":"""",""As"":""Helen Wills"",""athlete_id"":""2744"",""NOC"":""USA"",""Discipline"":""Art Competitions"",""Nationality"":"""",""Unnamed: 7"":""""},{""Games"":""1932 Summer Olympics"",""Event"":""Painting, Unknown Event, Open (Olympic)"",""Team"":"""",""Pos"":""AC"",""Medal"":"""",""As"":""Helen Wills"",""athlete_id"":""2744"",""NOC"":""USA"",""Discipline"":""Art Competitions"",""Nationality"":"""",""Unnamed: 7"":""""}]",No eliminados; quedan para análisis posterior.
data/raw/fuente2/athlete_events.csv,1385,"[""ID"",""Name"",""Sex"",""Age"",""Height"",""Weight"",""Team"",""NOC"",""Games"",""Year"",""Season"",""City"",""Sport"",""Event"",""Medal""]","[{""ID"":""704"",""Name"":""Dsir Antoine Acket"",""Sex"":""M"",""Age"":""27"",""Height"":""NA"",""Weight"":""NA"",""Team"":""Belgium"",""NOC"":""BEL"",""Games"":""1932 Summer"",""Year"":""1932"",""Season"":""Summer"",""City"":""Los Angeles"",""Sport"":""Art Competitions"",""Event"":""Art Competitions Mixed Painting, Unknown Event"",""Medal"":""NA""},{""ID"":""704"",""Name"":""Dsir Antoine Acket"",""Sex"":""M"",""Age"":""27"",""Height"":""NA"",""Weight"":""NA"",""Team"":""Belgium"",""NOC"":""BEL"",""Games"":""1932 Summer"",""Year"":""1932"",""Season"":""Summer"",""City"":""Los Angeles"",""Sport"":""Art Competitions"",""Event"":""Art Competitions Mixed Painting, Unknown Event"",""Medal"":""NA""},{""ID"":""2449"",""Name"":""William Truman Aldrich"",""Sex"":""M"",""Age"":""48"",""Height"":""NA"",""Weight"":""NA"",""Team"":""United States"",""NOC"":""USA"",""Games"":""1928 Summer"",""Year"":""1928"",""Season"":""Summer"",""City"":""Amsterdam"",""Sport"":""Art Competitions"",""Event"":""Art Competitions Mixed Painting, Drawings And Water Colors"",""Medal"":""NA""}]",No eliminados; quedan para análisis posterior.
