clave_logica_final,clasificacion,causa_primaria,filas_entrada,filas_eliminadas,id_participacion_superviviente,ids_participacion_entrada,id_atletas_originales,id_eventos_originales,campos_enriquecidos,campos_conflictivos,fuentes
333|7|74|21|Belgium|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,940,940;556091,333,74;2389,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
333|7|75|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,941,941;556092,333,75;2390,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
333|7|76|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,942,942;556093,333,76;2391,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
334|7|79|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,945,945;556264,334,79;2620,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
334|7|80|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,946,946;556265,334,80;2621,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
468|7|74|73|France|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,1209,1209;374987,468,74;2389,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
468|7|75|73|France|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,1210,1210;374988,468,75;2390,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
468|7|76|73|France|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,1211,1211;374989,468,76;2391,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
487|7|74|73|France|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS + ATHLETE_MERGE,2,1,1250,1250;452563,487;165763,74;2389,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
487|7|75|73|France|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS + ATHLETE_MERGE,2,1,1251,1251;452564,487;165763,75;2390,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
487|7|76|73|France|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS + ATHLETE_MERGE,2,1,1252,1252;452565,487;165763,76;2391,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1343|41|113|38|Canada|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3015,3015;325087,1343,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1344|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3016,3016;325712;592509,1344,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1345|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3017,3017;325713;592510,1345,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1346|41|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3018,3018;327879;594280,1346,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1346|43|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3019,3019;327880,1346,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1346|45|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3020,3020;327881,1346,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1346|47|113|223|United States|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3021,3021;327882,1346,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1347|41|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3022,3022;335653;600584,1347,113;2033,edad;altura_cm_registrada,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1348|41|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3023,3023;338211,1348,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1348|43|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3024,3024;338212,1348,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1349|41|113|211|Chinese Taipei|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3025,3025;346492;609579,1349,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1351|41|113|211|Chinese Taipei|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3027,3027;348302;611087,1351,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1352|41|113|211|Chinese Taipei|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3028,3028;348304;611088,1352,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1353|41|113|211|Chinese Taipei|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3029,3029;348591;611337,1353,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1354|41|113|211|Chinese Taipei|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3030,3030;349612;612131,1354,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1355|41|113|38|Canada|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3031,3031;350635;612982,1355,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1356|41|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3032,3032;352539,1356,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1357|41|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3033,3033;352870;614876,1357,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1357|43|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3034,3034;352871,1357,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1358|41|113|170|Puerto Rico|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3035,3035;352905;614911,1358,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1359|41|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3036,3036;354568;616339,1359,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1360|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3037,3037;358884,1360,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1361|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3038,3038;358997,1361,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1362|41|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3039,3039;363396;623738,1362,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1362|43|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3040,3040;363397,1362,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1363|41|113|38|Canada|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3041,3041;364701;624822,1363,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1365|41|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3043,3043;369153;628414,1365,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1365|43|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3044,3044;369154,1365,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1365|45|113|14|Australia|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3045,3045;369155,1365,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1366|41|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3046,3046;376099,1366,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1366|43|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3047,3047;376100,1366,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1366|45|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3048,3048;376101,1366,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1367|41|113|38|Canada|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3049,3049;378178,1367,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1368|41|113|108|Japan|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3050,3050;381675;638441,1368,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1369|41|113|108|Japan|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3051,3051;381744;638495,1369,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1370|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3052,3052;385349;641385,1370,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1372|41|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3054,3054;391236;646250,1372,113;2033,edad;altura_cm_registrada,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1373|41|113|211|Chinese Taipei|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3055,3055;397409;651120,1373,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1374|41|113|108|Japan|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3056,3056;398364;651878,1374,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
