fuente,archivo,id_original,nombre_original,id_atleta_global_actual,fecha_nacimiento,noc,equipo,anio,temporada,deporte,disciplina,evento_original,id_evento_actual,evento_actual,medalla,posicion,estado_resultado,estado_matching_actual,tipo_match_actual,razon_no_fusion
fuente1,data/intermediate/cleaned/fuente1_raw_results.csv,111386,Lionel Messi,110178,1987-06-24,ARG,Argentina,2008,Summer,,Football (Football),"Football, Men (Olympic)",303,"Football, Men (Olympic)",Gold,1,,MATCHED,SOURCE1_BASE,Registro Fuente 1 quedó como identidad base; el otro nombre no igualó el alias auxiliar exacto.
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,79053,Lionel Andrs Messi Cuccittini,167544,,ARG,Argentina,2008,Summer,Football,Football,Football Men's Football,1902,Football Men's Football,Gold,,,UNMATCHED,NEW_SOURCE_ENTITY,El matching actual exige alias normalizado exacto; 'Lionel Andrs Messi Cuccittini' no coincide con 'Lionel Messi' y no existe etapa contextual por tokens.
