componente_evento,miembros,nombres,tamano,deportes,disciplinas,generos,pares_evaluados,pares_safe,pares_conflict_review,pares_faltantes,coexistencia,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV00043,132;140,"Individual, Handicap, Men (Olympic (non-medal)) | Individual, Men (Olympic (non-medal))",2,golf,golf,men,1,1,0,0,,SAFE_EVENT_COMPONENT,140,"Individual, Handicap, Men (Olympic (non-medal))","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00044,138;144,"Singles, Handicap, Men (Olympic (non-medal)) | Singles, Men (Olympic (non-medal))",2,golf,golf,men,1,1,0,0,,SAFE_EVENT_COMPONENT,144,"Singles, Handicap, Men (Olympic (non-medal))","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00045,139;143,"Doubles, Handicap, Men (Olympic (non-medal)) | Doubles, Men (Olympic (non-medal))",2,golf,golf,men,1,1,0,0,,SAFE_EVENT_COMPONENT,143,"Doubles, Handicap, Men (Olympic (non-medal))","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00046,150;1900,"Basketball Men's Basketball | Basketball, Men (Olympic)",2,basketball,basketball,men,1,1,0,0,,SAFE_EVENT_COMPONENT,1900,Basketball Men's Basketball,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00047,151;317,"Road Race, Individual, Men (Intercalated) | Road Race, Individual, Men (Olympic)",2,cycling,cycling road,men,1,1,0,0,,SAFE_EVENT_COMPONENT,317,"Road Race, Individual, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00048,152;1982,"Basketball Women's Basketball | Basketball, Women (Olympic)",2,basketball,basketball,women,1,1,0,0,,SAFE_EVENT_COMPONENT,1982,Basketball Women's Basketball,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00049,153;2370;2999,"Athletics Women's Triple Jump | Triple Jump, Women (Olympic) | Women's Triple Jump",3,athletics,athletics,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2370,Athletics Women's Triple Jump,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00050,154;1935,"Handball Women's Handball | Handball, Women (Olympic)",2,handball,handball,women,1,1,0,0,,SAFE_EVENT_COMPONENT,1935,Handball Women's Handball,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00051,157;2123;2959,"Athletics Men's Decathlon | Decathlon, Men (Olympic) | Men's Decathlon",3,athletics,athletics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2123,Athletics Men's Decathlon,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00052,158;240,"Four, Men (Olympic) | Four/Five, Men (Olympic)",2,bobsleigh,bobsleigh,men,1,1,0,0,,SAFE_EVENT_COMPONENT,240,"Four/Five, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
