componente_evento,miembros,nombres,tamano,deportes,disciplinas,generos,pares_evaluados,pares_safe,pares_conflict_review,pares_faltantes,coexistencia,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV00097,413;782,"1,500 metres Freestyle, Men (Olympic) | 500 metres Freestyle, Men (Olympic)",2,aquatics,swimming,men,1,1,0,0,,SAFE_EVENT_COMPONENT,782,"1,500 metres Freestyle, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00098,418;695,"400 metres Freestyle, Men (Intercalated) | 400 metres Freestyle, Men (Olympic)",2,aquatics,swimming,men,1,1,0,0,,SAFE_EVENT_COMPONENT,695,"400 metres Freestyle, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00099,428;2505,"Fencing Men's epee, Masters and Amateurs, Individual | Épée, Masters and Amateurs, Individual, Men (Olympic)",2,fencing,fencing,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2505,"Fencing Men's epee, Masters and Amateurs, Individual","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00100,432;2420,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team | Small-Bore Rifle, 50 and 100 yards, Team, Men (Olympic)",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2420,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00101,467;733;853,"1,200 metres Freestyle, Men (Olympic) | 200 metres, Men (Olympic) | Military Rifle, 200 metres, Men (Olympic)",3,athletics,athletics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,733,"Military Rifle, 200 metres, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00102,468;1954,"Football Women's Football | Football, Women (Olympic)",2,football,football,women,1,1,0,0,,SAFE_EVENT_COMPONENT,1954,Football Women's Football,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00103,480;2114;2705,"Floor Exercise, Women (Olympic) | Gymnastics Women's Floor Exercise | Women's Floor Exercise",3,gymnastics,artistic gymnastics,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2114,Gymnastics Women's Floor Exercise,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00104,482;2116;2703,"Gymnastics Women's Uneven Bars | Uneven Bars, Women (Olympic) | Women's Uneven Bars",3,gymnastics,artistic gymnastics,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2116,Gymnastics Women's Uneven Bars,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00105,483;2117;2704,"Balance Beam, Women (Olympic) | Gymnastics Women's Balance Beam | Women's Balance Beam",3,gymnastics,artistic gymnastics,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2117,Gymnastics Women's Balance Beam,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00106,488;522,"Individual All-Around, Men (Intercalated) | Individual All-Around, Men (Olympic)",2,gymnastics,artistic gymnastics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,522,"Individual All-Around, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00107,490;1922;2668,"Floor Exercise, Men (Olympic) | Gymnastics Men's Floor Exercise | Men's Floor Exercise",3,gymnastics,artistic gymnastics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,1922,Gymnastics Men's Floor Exercise,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00108,492;1924;2672,"Gymnastics Men's Parallel Bars | Men's Parallel Bars | Parallel Bars, Men (Olympic)",3,gymnastics,artistic gymnastics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,1924,Gymnastics Men's Parallel Bars,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00109,493;1925;2673,"Gymnastics Men's Horizontal Bar | Horizontal Bar, Men (Olympic) | Men's Horizontal Bar",3,gymnastics,artistic gymnastics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,1925,Gymnastics Men's Horizontal Bar,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00110,494;2670,"Men's Rings | Rings, Men (Olympic)",2,gymnastics,artistic gymnastics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,494,"Rings, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00111,496;2139;2971,"Athletics Women's Pole Vault | Pole Vault, Women (Olympic) | Women's Pole Vault",3,athletics,athletics,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2139,Athletics Women's Pole Vault,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00112,503;555;933,"Rope Climbing, Men () | Rope Climbing, Men (Intercalated) | Rope Climbing, Men (Olympic)",3,gymnastics,artistic gymnastics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,555,"Rope Climbing, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00113,509;510;740;2224;2271,"Free Rifle, Three Positions, 300 metres, Men (Olympic) | Free Rifle, Three Positions, 300 metres, Team, Men (Intercalated) | Free Rifle, Three Positions, 300 metres, Team, Men (Olympic) | Shooting Men's Free Rifle, Three Positions, 300 metres | Shooting Men's Free Rifle, Three Positions, 300 metres, Team",5,shooting,shooting,men,10,5,2,0,"fuente1:[('1900', 'Summer'), ('1908', 'Summer'), ('1912', 'Summer'), ('1920', 'Summer')] | fuente2:[('1900', 'Summer'), ('1908', 'Summer'), ('1912', 'Summer'), ('1920', 'Summer')] | fuente3:[('1900', 'Summer'), ('1908', 'Summer'), ('1912', 'Summer'), ('1920', 'Summer')]",REVIEW_EVENT_COMPONENT,740,"Free Rifle, Three Positions, 300 metres, Team, Men (Intercalated)",contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00114,511;2272,"Military Rifle, Prone, 300 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Prone, 300 metres, Team",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2272,"Shooting Men's Military Rifle, Prone, 300 metres, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00115,513;2273,"Military Rifle, Prone, 600 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Prone, 600 metres, Team",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2273,"Shooting Men's Military Rifle, Prone, 600 metres, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00116,514;515;710;2274,"Military Rifle, Kneeling Or Standing, 300 metres, Men (Intercalated) | Military Rifle, Standing, 300 metres, Men (Olympic) | Military Rifle, Standing, 300 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Standing, 300 metres, Team",4,shooting,shooting,men,6,3,1,0,"fuente1:[('1920', 'Summer')]",REVIEW_EVENT_COMPONENT,710,"Military Rifle, Kneeling Or Standing, 300 metres, Men (Intercalated)",contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00117,519;520;688;2253;2254;2437,"Running Target, Double Shot, Men (Olympic) | Running Target, Single Shot, Men (Olympic) | Running Target, Single and Double Shot, Men (Olympic) | Shooting Men's Running Target, Double Shot | Shooting Men's Running Target, Single And Double Shot | Shooting Men's Running Target, Single Shot",6,shooting,shooting,men,15,5,0,0,,SAFE_EVENT_COMPONENT,2437,"Shooting Men's Running Target, Single And Double Shot","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00118,527;967,"Lightweight, Greco-Roman, Men (Intercalated) | Lightweight, Greco-Roman, Men (Olympic)",2,wrestling,wrestling greco roman,men,1,1,0,0,,SAFE_EVENT_COMPONENT,967,"Lightweight, Greco-Roman, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00119,544;561,"Standing Long Jump, Men (Intercalated) | Standing Long Jump, Men (Olympic)",2,athletics,athletics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,544,"Standing Long Jump, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00120,545;1114,"Individual All-Around, Men (Intercalated) | Individual All-Around, Men (Olympic)",2,athletics,athletics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,545,"Individual All-Around, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00121,547;1086,"Team All-Around, Men (Intercalated) | Team All-Around, Men (Olympic)",2,athletics,athletics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,547,"Team All-Around, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00122,562;1142,"Standing Long Jump, Men (Intercalated) | Standing Long Jump, Men (Olympic)",2,gymnastics,artistic gymnastics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,1142,"Standing Long Jump, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00123,564;1049,"Standing High Jump, Men (Intercalated) | Standing High Jump, Men (Olympic)",2,athletics,athletics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,564,"Standing High Jump, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00124,583;1987,"Handball Men's Handball | Handball, Men (Olympic)",2,handball,handball,men,1,1,0,0,,SAFE_EVENT_COMPONENT,1987,Handball Men's Handball,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00125,588;595;596,"Half-Middleweight, Women (Olympic (non-medal)) | Half-Middleweight, Women (Olympic) | Middleweight, Women (Olympic)",3,judo,judo,women,3,2,1,0,"fuente1:[('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",REVIEW_EVENT_COMPONENT,596,"Half-Middleweight, Women (Olympic (non-medal))",contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00126,589;594;597;598;599,"Extra-Lightweight, Women (Olympic (non-medal)) | Extra-Lightweight, Women (Olympic) | Half-Lightweight, Women (Olympic (non-medal)) | Half-Lightweight, Women (Olympic) | Lightweight, Women (Olympic)",5,judo,judo,women,10,4,2,0,"fuente1:[('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",REVIEW_EVENT_COMPONENT,599,"Extra-Lightweight, Women (Olympic (non-medal))",contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00127,590;591;592,"Half-Heavyweight, Women (Olympic (non-medal)) | Half-Heavyweight, Women (Olympic) | Heavyweight, Women (Olympic)",3,judo,judo,women,3,2,1,0,"fuente1:[('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",REVIEW_EVENT_COMPONENT,591,"Half-Heavyweight, Women (Olympic (non-medal))",contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00128,615;737,"Military Ski Patrol, Men (Olympic (non-medal)) | Military Ski Patrol, Men (Olympic)",2,skiing,military ski patrol,men,1,1,0,0,,SAFE_EVENT_COMPONENT,737,"Military Ski Patrol, Men (Olympic (non-medal))","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00129,617;1370,"Individual, Men (Olympic) | Large Hill / 10 km, Individual, Men (Olympic)",2,skiing,nordic combined,men,1,1,0,0,,SAFE_EVENT_COMPONENT,1370,"Large Hill / 10 km, Individual, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00130,626;2232;2904;3063,"Double Sculls, Women (Olympic) | Rowing Women's Double Sculls | Women's Double Sculls | Women's Double Sculls Team",4,rowing,rowing,women,6,3,0,0,,SAFE_EVENT_COMPONENT,626,"Double Sculls, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00131,628;2856;3035,"Lightweight Double Sculls, Women (Olympic) | Lightweight Women's Double Sculls | Lightweight Women's Double Sculls Team",3,rowing,rowing,women,3,2,0,0,,SAFE_EVENT_COMPONENT,628,"Lightweight Double Sculls, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00132,629;642;653,"Coxed Fours, Inriggers, Men (Olympic) | Coxed Fours, Men (Olympic) | Coxed Fours, Outriggers, Men (Olympic)",3,rowing,rowing,men,3,2,0,0,,SAFE_EVENT_COMPONENT,642,"Coxed Fours, Outriggers, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00133,633;2011;2902;3069,"Men's Quadruple Sculls | Men's Quadruple Sculls Team | Quadruple Sculls, Men (Olympic) | Rowing Men's Quadruple Sculls",4,rowing,rowing,men,6,3,0,0,,SAFE_EVENT_COMPONENT,633,"Quadruple Sculls, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00134,635;2012;2773;3061,"Double Sculls, Men (Olympic) | Men's Double Sculls | Men's Double Sculls Team | Rowing Men's Double Sculls",4,rowing,rowing,men,6,3,0,0,,SAFE_EVENT_COMPONENT,635,"Double Sculls, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00135,637;1945;2679;3011,"Lightweight Double Sculls, Men (Olympic) | Lightweight Men's Double Sculls | Lightweight Men's Double Sculls Team | Rowing Men's Lightweight Double Sculls",4,rowing,rowing,men,6,4,0,0,,SAFE_EVENT_COMPONENT,637,"Lightweight Double Sculls, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00136,641;652;2157;2184;2774;3078,"Coxed Quadruple Sculls, Women (Olympic) | Quadruple Sculls, Women (Olympic) | Rowing Women's Coxed Quadruple Sculls | Rowing Women's Quadruple Sculls | Women's Quadruple Sculls | Women's Quadruple Sculls Team",6,rowing,rowing,women,15,6,0,0,,SAFE_EVENT_COMPONENT,652,"Coxed Quadruple Sculls, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00137,670;2819,"Trap Men | Trap, Men (Olympic)",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,670,"Trap, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00138,675;2313,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres | Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",2,shooting,shooting,women,1,1,0,0,,SAFE_EVENT_COMPONENT,2313,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00139,676;703,"Free Pistol, 50 metres, Men (Intercalated) | Free Pistol, 50 metres, Men (Olympic)",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,703,"Free Pistol, 50 metres, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00140,677;728;1963;2610,"Shooting Men's Small-Bore Rifle, Prone, 50 metres | Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team | Small-Bore Rifle, Prone, 50 metres, Men (Olympic) | Small-Bore Rifle, Prone, 50 metres, Team, Men (Olympic)",4,shooting,shooting,men,6,3,0,0,,SAFE_EVENT_COMPONENT,2610,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00141,678;2079,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres | Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2079,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00142,681;2747,"Skeet Men | Skeet, Men (Olympic)",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,681,"Skeet, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00143,687;2840,"Trap Women | Trap, Women (Olympic)",2,shooting,shooting,women,1,1,0,0,,SAFE_EVENT_COMPONENT,687,"Trap, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00144,689;2419,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards | Small-Bore Rifle, Prone, 50 and 100 yards, Men (Olympic)",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2419,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00145,690;2421,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards | Small-Bore Rifle, Disappearing Target, 25 yards, Men (Olympic)",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2421,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00146,691;2422,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards | Small-Bore Rifle, Moving Target, 25 yards, Men (Olympic)",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2422,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00147,696;830,"1 mile Freestyle, Men (Intercalated) | 1 mile Freestyle, Men (Olympic)",2,aquatics,swimming,men,1,1,0,0,,SAFE_EVENT_COMPONENT,696,"1 mile Freestyle, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00148,700;2225,"Military Rifle, Three Positions, 300 metres, Men (Olympic) | Shooting Men's Military Rifle, Three Positions, 300 metres",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2225,"Shooting Men's Military Rifle, Three Positions, 300 metres","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00149,701;2226,"Military Rifle, Any Position, 600 metres, Men (Olympic) | Shooting Men's Military Rifle, Any Position, 600 metres",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2226,"Shooting Men's Military Rifle, Any Position, 600 metres","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00150,708;750,"Free Rifle, Any Position, 300 metres, Men (Intercalated) | Free Rifle, Any Position, 300 metres, Men (Olympic)",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,708,"Free Rifle, Any Position, 300 metres, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00151,713;2276,"Free Rifle, 400, 600 and 800 metres, Team, Men (Olympic) | Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2276,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00152,714;2463;2464,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team | Shooting Men's Small-Bore Rifle, Standing, 50 metres | Small-Bore Rifle, Standing, 50 metres, Men (Olympic)",3,shooting,shooting,men,3,2,1,0,"fuente2:[('1920', 'Summer')] | fuente3:[('1920', 'Summer')]",REVIEW_EVENT_COMPONENT,2464,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00153,723;2436,"Military Rifle, 200/500/600/800/900/1,000 yards, Team, Men (Olympic) | Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2436,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00154,724;2870,"Skeet Women | Skeet, Women (Olympic)",2,shooting,shooting,women,1,1,0,0,,SAFE_EVENT_COMPONENT,724,"Skeet, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00155,727;751;2227;2533,"Military Rifle, 200 metres, Men (Olympic) | Military Rifle, 200, 400, 500 and 600 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, 200 metres | Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",4,shooting,shooting,men,6,3,0,0,,SAFE_EVENT_COMPONENT,2227,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00156,729;2438,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres | Small-Bore Rifle, Any Position, 50 metres, Men (Olympic)",2,shooting,shooting,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2438,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00157,730;752;2439;2576,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres | Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team | Small-Bore Rifle, Disappearing Target, 25 metres, Men (Olympic) | Small-Bore Rifle, Disappearing Target, 25 metres, Team, Men (Olympic)",4,shooting,shooting,men,6,3,2,0,"fuente1:[('1912', 'Summer')] | fuente2:[('1912', 'Summer')] | fuente3:[('1912', 'Summer')]",REVIEW_EVENT_COMPONENT,2576,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00158,734;1174,"Unlimited, One Hand, Men (Intercalated) | Unlimited, One Hand, Men (Olympic)",2,athletics,athletics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,1174,"Unlimited, One Hand, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00159,779;824,"1,200 metres Freestyle, Men (Olympic) | 200 metres Freestyle, Men (Olympic)",2,aquatics,swimming,men,1,1,0,0,,SAFE_EVENT_COMPONENT,824,"1,200 metres Freestyle, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00160,835;875,"100 metres Freestyle, Men (Intercalated) | 100 metres Freestyle, Men (Olympic)",2,aquatics,diving,men,1,1,0,0,,SAFE_EVENT_COMPONENT,875,"100 metres Freestyle, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00161,840;1177,"100 metres Freestyle, Men (Intercalated) | 100 metres Freestyle, Men (Olympic)",2,gymnastics,artistic gymnastics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,1177,"100 metres Freestyle, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00162,851;895,"100 metres Freestyle, Men (Intercalated) | 100 metres Freestyle, Men (Olympic)",2,athletics,athletics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,895,"100 metres Freestyle, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00163,876;883,"400 metres Freestyle, Men (Intercalated) | 400 metres Freestyle, Men (Olympic)",2,aquatics,diving,men,1,1,0,0,,SAFE_EVENT_COMPONENT,876,"400 metres Freestyle, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00164,888;1410,"Water Polo, Women (Olympic (non-medal)) | Water Polo, Women (Olympic)",2,aquatics,water polo,women,1,1,0,0,,SAFE_EVENT_COMPONENT,888,"Water Polo, Women (Olympic (non-medal))","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00165,899;2914,"Individual, Women (Olympic) | Women's Individual",2,modern pentathlon,modern pentathlon,women,1,1,0,0,,SAFE_EVENT_COMPONENT,899,"Individual, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
