clave_logica_original,id_atleta,id_edicion,id_evento,id_noc,equipo,medalla,cantidad_filas,duplicados_excedentes,clasificacion,campos_conflictivos,campos_complementarios,ids_participacion,procedencia
12382|6|215|223|Deceive|,12382,6,215,223,Deceive,,2,1,PREEXISTING_CONFLICT,posicion,,21509;21511,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
12527|6|215|78|The Flea|,12527,6,215,78,The Flea,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,21963;21965,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
12550|6|215|21|Beau Soleil|,12550,6,215,21,Beau Soleil,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,22029;22031,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
12633|6|219|58|Streg|,12633,6,219,58,Streg,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,22270;22272,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
12659|6|215|73|Dignité|,12659,6,215,73,Dignité,,2,1,PREEXISTING_CONFLICT,posicion,,22349;22351,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
14241|5|244|78||,14241,5,244,78,,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;empatado,25807;25808,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
17690|2|343|135|Red|,17690,2,343,135,Red,,2,1,PREEXISTING_CONFLICT,posicion,,32309;32310,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
17741|2|343|73|C|,17741,2,343,73,C,,2,1,PREEXISTING_CONFLICT,posicion,,32412;32413,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
17742|2|343|73|Blue|,17742,2,343,73,Blue,,2,1,PREEXISTING_CONFLICT,posicion,,32417;32418,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
17873|5|145|78||,17873,5,145,78,,,2,1,PREEXISTING_CONFLICT,empatado,,32592;32594,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18020|3|132|223||,18020,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,32771;32772,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18022|3|132|223||,18022,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32775;32776,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18024|3|132|223||,18024,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32780;32781,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18025|3|132|223||,18025,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32783;32784,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18026|3|132|223||,18026,3,132,223,,,2,1,PREEXISTING_CONFLICT,empatado,,32787;32788,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18028|3|132|223||,18028,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32791;32792,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18029|3|132|223||,18029,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,32794;32795,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18031|3|132|223||,18031,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32801;32802,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18032|3|132|223||,18032,3,132,223,,,2,1,PREEXISTING_CONFLICT,empatado,posicion;estado_resultado,32805;32806,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18037|3|132|223||,18037,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32814;32815,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
