id_atleta_origen_a,nombre_a,id_atleta_origen_b,nombre_b,fuentes_atleta_a,fuentes_atleta_b,ids_originales_a,ids_originales_b,contextos_compartidos,biografia_estado,senales_altura_peso,same_source,clasificacion,razon,event_aliases_used,id_atleta_canonico_propuesto
92,Lionel Escombe,220245,Lionel Escombe,fuente1 | fuente2 | fuente3,fuente3,fuente1:92 | fuente2:33132 | fuente3:64766,fuente3:64767,"[""1908 Summer | GBR | Great Britain-3 | 2528 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
95,Leslie Godfree,228918,Leslie Godfree,fuente1 | fuente2 | fuente3,fuente3,fuente1:95 | fuente2:40959 | fuente3:80676,fuente3:80677,"[""1924 Summer | GBR | Great Britain-2 | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
96,Andy Goode,157318,Andy Brian Goode,fuente1 | fuente3,fuente2,fuente1:96 | fuente3:82082,fuente2:41679,"[""1992 Summer | GBR | Great Britain-1 | 2321 | ""]",UNKNOWN/COMPATIBLE,"altura_cm: diferencia=0; señal, no regla de rechazo | peso_kg: diferencia=0; señal, no regla de rechazo",,SAFE_ATHLETE_PAIR,"Contexto compartido, candidato único y sin contradicción biográfica conocida.",SAFE_EVENT_COMPONENT_ONLY,96
100,George Hillyard,237091,George Hillyard,fuente1 | fuente2 | fuente3,fuente3,fuente1:100 | fuente2:48637 | fuente3:96061,fuente3:96062,"[""1908 Summer | GBR | Great Britain-4 | 2528 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
102,Algernon Kingscote,248735,Algernon Kingscote,fuente1 | fuente2 | fuente3,fuente3,fuente1:102 | fuente2:60525 | fuente3:119559,fuente3:119560,"[""1924 Summer | GBR | Great Britain-1 | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
104,Arthur Lowe,260892,Arthur Lowe,fuente1 | fuente2 | fuente3,fuente3,fuente1:104 | fuente2:71785 | fuente3:143045,fuente3:143046,"[""1912 Summer | GBR | Great Britain-4 | 2528 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
109,Arthur Norris,277251,Arthur Norris,fuente1 | fuente2 | fuente3,fuente3,fuente1:109 | fuente2:86975 | fuente3:173062,fuente3:173063,"[""1900 Summer | GBR | Great Britain-2 | 2 | Bronze""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
110,James Parke,282008,James Parke,fuente1 | fuente2 | fuente3,fuente3,fuente1:110 | fuente2:91641 | fuente3:182307,fuente3:182308,"[""1908 Summer | GBR | Great Britain-2 | 2 | Silver""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
117,Matthew Syed,309273,Matthew Syed,fuente1 | fuente2 | fuente3,fuente3,fuente1:117 | fuente2:117198 | fuente3:233682,fuente3:233683,"[""2000 Summer | GBR | Great Britain | 2180 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
130,Katja Nolten,277071,Katja Nolten,fuente1 | fuente2 | fuente3,fuente3,fuente1:130 | fuente2:86793 | fuente3:172749,fuente3:172750,"[""1988 Summer | FRG | West Germany | 2076 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
138,Boris Becker,193644,Boris Becker,fuente1 | fuente2 | fuente3,fuente3,fuente1:138 | fuente2:9195 | fuente3:17179,fuente3:17180,"[""1992 Summer | GER | Germany | 2 | Gold""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
141,Peter Franz,224484,Peter Franz,fuente1 | fuente2 | fuente3,fuente3,fuente1:141 | fuente2:36816 | fuente3:72367,fuente3:72368,"[""2000 Summer | GER | Germany | 2180 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
143,Otto Froitzheim,225032,Otto Froitzheim,fuente1 | fuente2 | fuente3,fuente3,fuente1:143 | fuente2:37299 | fuente3:73391,fuente3:73392,"[""1908 Summer | GER | Germany-1 | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
144,Marc-Kevin Goellner,228964,Marc-Kevin Goellner,fuente1 | fuente2 | fuente3,fuente3,fuente1:144 | fuente2:41006 | fuente3:80754,fuente3:80755,"[""1996 Summer | GER | Germany | 2 | Bronze""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
148,Eric Jelen,242569,Eric Jelen,fuente1 | fuente2 | fuente3,fuente3,fuente1:148 | fuente2:54213 | fuente3:107267,fuente3:107268,"[""1988 Summer | FRG | West Germany | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
151,Stephan Kuhl,252980,Stephan Kuhl,fuente1 | fuente2 | fuente3,fuente3,fuente1:151 | fuente2:64691 | fuente3:128490,fuente3:128491,"[""1992 Summer | GER | Germany | 2321 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
161,Michael Stich,307109,Michael Stich,fuente1 | fuente2 | fuente3,fuente3,fuente1:161 | fuente2:115204 | fuente3:229454,fuente3:229455,"[""1992 Summer | GER | Germany | 2 | Gold""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
165,Helen Amankwah,186981,Helen Amankwah,fuente1 | fuente2 | fuente3,fuente3,fuente1:165 | fuente2:3286 | fuente3:5839,fuente3:5840,"[""1992 Summer | GHA | Ghana | 2076 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
167,Patience Opokua,279582,Patience Opokua,fuente1 | fuente2 | fuente3,fuente3,fuente1:167 | fuente2:89282 | fuente3:177643,fuente3:177644,"[""1992 Summer | GHA | Ghana | 2076 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
173,Aristidis Akratopoulos,185272,Aristidis Akratopoulos,fuente1 | fuente2 | fuente3,fuente3,fuente1:173 | fuente2:1724 | fuente3:3079,fuente3:3080,"[""1896 Summer | GRE | Greece-3 | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
177,Georgios Kalovelonis,245270,Georgios Kalovelonis,fuente1 | fuente2 | fuente3,fuente3,fuente1:177 | fuente2:56963 | fuente3:112485,fuente3:112486,"[""1988 Summer | GRE | Greece | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
180,Pantelis Papadopoulos,281617,Pantelis Papadopoulos,fuente1 | fuente2 | fuente3,fuente3,fuente1:180 | fuente2:91199 | fuente3:181454,fuente3:181455,"[""1924 Summer | GRE | Greece | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
182,Dimitrios Petrokokkinos,284747,Dimitrios Petrokokkinos,fuente1 | fuente2 | fuente3,fuente3,fuente1:182 | fuente2:94075 | fuente3:187185,fuente3:187186,"[""1896 Summer | GRE | Greece-1 | 2 | Silver""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
184,Evangelos Rallis,289495,Evangelos Rallis,fuente1 | fuente2 | fuente3,fuente3,fuente1:184 | fuente2:98539 | fuente3:196271,fuente3:196272,"[""1896 Summer | GRE | Greece-2 | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
232,Aida Steshenko,306927,Aida Steshenko,fuente1 | fuente2 | fuente3,fuente3,fuente1:232 | fuente2:115037 | fuente3:229121,fuente3:229122,"[""2000 Summer | TKM | Turkmenistan | 2075 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
239,Zelin Resiana,291111,Zelin Resiana,fuente1 | fuente2 | fuente3,fuente3,fuente1:239 | fuente2:100093 | fuente3:199296,fuente3:199297,"[""2000 Summer | INA | Indonesia-2 | 100 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
244,Lili Tampi,310333,Lili Tampi,fuente1 | fuente2 | fuente3,fuente3,fuente1:244 | fuente2:118236 | fuente3:235811,fuente3:235812,"[""1996 Summer | INA | Indonesia-1 | 2363 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
247,Minarti Timur,312826,Minarti Timur,fuente1 | fuente2 | fuente3,fuente3,fuente1:247 | fuente2:120423 | fuente3:240318,fuente3:240319,"[""2000 Summer | INA | Indonesia-1 | 100 | Silver""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
251,Rudy Gunawan,232139,Rudy Gunawan,fuente1 | fuente2 | fuente3,fuente3,fuente1:251 | fuente2:43863 | fuente3:86508,fuente3:86509,"[""1996 Summer | INA | Indonesia-2 | 2321 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
259,Tonny Maringgi,166427,Tonny Z. Maringgi,fuente1 | fuente3,fuente2,fuente1:259 | fuente3:149698,fuente2:75077,"[""1988 Summer | INA | Indonesia | 2180 | ""]",UNKNOWN/COMPATIBLE,"altura_cm: diferencia=0; señal, no regla de rechazo | peso_kg: diferencia=0; señal, no regla de rechazo",,SAFE_ATHLETE_PAIR,"Contexto compartido, candidato único y sin contradicción biográfica conocida.",SAFE_EVENT_COMPONENT_ONLY,259
273,Niyati Roy-Shah,294573,Niyati Roy-shah,fuente1 | fuente2 | fuente3,fuente3,fuente1:273 | fuente2:103068 | fuente3:205259,fuente3:205260,"[""1992 Summer | IND | India | 2075 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
276,Vijay Amritraj,187263,Vijay Amritraj,fuente1 | fuente2 | fuente3,fuente3,fuente1:276 | fuente2:3539 | fuente3:6306,fuente3:6307,"[""1988 Summer | IND | India | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
284,Ramesh Krishnan,252256,Ramesh Krishnan,fuente1 | fuente2 | fuente3,fuente3,fuente1:284 | fuente2:64064 | fuente3:127071,fuente3:127072,"[""1992 Summer | IND | India | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
285,Vimal Kumar,253196,Vimal Kumar,fuente1 | fuente2 | fuente3,fuente3,fuente1:285 | fuente2:64911 | fuente3:128931,fuente3:128932,"[""1992 Summer | IND | India | 2321 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
289,Mohammed Sleem,303618,Mohammed Sleem,fuente1 | fuente2 | fuente3,fuente3,fuente1:289 | fuente2:111927 | fuente3:222834,fuente3:222835,"[""1924 Summer | IND | India-1 | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
296,Carole Toy,314190,Carole Toy,fuente1 | fuente2 | fuente3,fuente3,fuente1:296 | fuente2:121563 | fuente3:242732,fuente3:242733,"[""1980 Summer | AUS | Australia | 2034 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
301,Jackson Fear,221631,Jackson Fear,fuente1 | fuente2 | fuente3,fuente3,fuente1:301 | fuente2:34372 | fuente3:67244,fuente3:67245,"[""1996 Summer | AUS | Australia | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
303,Grant Greenham,230806,Grant Greenham,fuente1 | fuente2 | fuente3,fuente3,fuente1:303 | fuente2:42680 | fuente3:83985,fuente3:83986,"[""1992 Summer | AUS | Australia | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
307,Rodney Wagner,321564,Rodney Wagner,fuente1 | fuente2 | fuente3,fuente3,fuente1:307 | fuente2:127909 | fuente3:255479,fuente3:255480,"[""1988 Summer | AUS | Australia | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
