id_evento,nombre,deporte,disciplina,genero,categoria_edad,condicion_medalla,modalidad,team_individual,distancia_normalizada,distancia_compuesta,categoria_peso,aparato,numero_participantes,youth,non_medal,modificadores_restantes,redundancia_padre,semantic_key,fuentes
2281,Cycling Men's Points Race,,,,adult,medal,,,,,,,,NO,NO,cycling | points | race,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""cycling"", ""points"", ""race""]]",
2282,Synchronized Swimming Women's Solo,,,,adult,medal,,,,,,,,NO,NO,solo | swimming | synchronized,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""solo"", ""swimming"", ""synchronized""]]",
2283,"Equestrianism Mixed Dressage, Individual",,,,adult,medal,individual | mixed,individual,,,,,individual,NO,NO,dressage | equestrianism,0,"["""", """", """", ""adult"", ""medal"", [""individual"", ""mixed""], [], [], [], [""dressage"", ""equestrianism""]]",
2284,"Equestrianism Mixed Dressage, Team",,,,adult,medal,mixed | team,team,,,,,team,NO,NO,dressage | equestrianism,0,"["""", """", """", ""adult"", ""medal"", [""mixed"", ""team""], [], [], [], [""dressage"", ""equestrianism""]]",
2285,Cross Country Skiing Men's 18 kilometres,,,,adult,medal,,,18:km,,,,,NO,NO,country | cross | skiing,0,"["""", """", """", ""adult"", ""medal"", [], [""18:km""], [], [], [""country"", ""cross"", ""skiing""]]",
2286,Swimming Men's 100 metres Breaststroke,,,,adult,medal,,,100:m,,,,,NO,NO,breaststroke | swimming,0,"["""", """", """", ""adult"", ""medal"", [], [""100:m""], [], [], [""breaststroke"", ""swimming""]]",
2287,Figure Skating Mixed Ice Dancing,,,,adult,medal,mixed,,,,,,,NO,NO,dancing | figure | ice | skating,0,"["""", """", """", ""adult"", ""medal"", [""mixed""], [], [], [], [""dancing"", ""figure"", ""ice"", ""skating""]]",
2288,"Shooting Mixed Free Pistol, 50 metres",,,,adult,medal,mixed,,50:m,,,,,NO,NO,free | pistol | shooting,0,"["""", """", """", ""adult"", ""medal"", [""mixed""], [""50:m""], [], [], [""free"", ""pistol"", ""shooting""]]",
2289,Sailing Women's Skiff,sailing,sailing,women,adult,medal,,,,,,,,NO,NO,skiff,0,"[""sailing"", ""sailing"", ""women"", ""adult"", ""medal"", [], [], [], [], [""skiff""]]",fuente2 | fuente3
2290,"Canoeing Men's Kayak Doubles, 10,000 metres",,,,adult,medal,doubles,,10000:m,,,,,NO,NO,canoeing | kayak,0,"["""", """", """", ""adult"", ""medal"", [""doubles""], [""10000:m""], [], [], [""canoeing"", ""kayak""]]",
