entidad,antes_processed,despues_preview,filas_eliminadas,estado
ATLETA,338772,336419,2353,PASS
EVENTO,3106,3007,99,PASS
PARTICIPACION,826605,733414,93191,PASS
PARTICIPACIONES_EXACTAS_COMPLEMENTARIAS_ELIMINADAS,826605,733414,93191,PASS
ATHLETE_COMPONENTS_FINAL_SAFE,2353,2353,0,PASS
EVENT_COMPONENTS_SAFE,99,99,0,PASS
