id_atleta_a,nombre_a,id_atleta_b,nombre_b,fuentes,fecha_a,fecha_b,sexo_a,sexo_b,contextos_a,contextos_b,contextos_compartidos,contextos_solo_a,contextos_solo_b,conflictos_biograficos,unicidad,score_nombre,score_contexto,clasificacion_final,razon,tipo_muestra
50233,Lee Yue-Hwan,256650,Lee Yue-hwan,fuente1 | fuente2 | fuente3,1958-08-12,,Female,F,"[""1972 Summer | TPE |  | 100 breaststroke metres women | "", ""1972 Summer | TPE |  | 200 breaststroke metres women | "", ""1972 Summer | TPE | Chinese Taipei | 100 breaststroke metres swimming women | "", ""1972 Summer | TPE | Chinese Taipei | 200 breaststroke metres swimming women | "", ""1976 Summer | TPE |  | 100 freestyle metres women | ""]","[""1972 Summer | TPE | Chinese Taipei | 200 breaststroke metres swimming women | ""]","[""1972 Summer | TPE | Chinese Taipei | 200 breaststroke metres swimming women | ""]","[""1972 Summer | TPE |  | 100 breaststroke metres women | "", ""1972 Summer | TPE |  | 200 breaststroke metres women | "", ""1972 Summer | TPE | Chinese Taipei | 100 breaststroke metres swimming women | "", ""1976 Summer | TPE |  | 100 freestyle metres women | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.2,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
104440,Mark Lewis-Francis,257917,Mark Lewis-francis,fuente1 | fuente2 | fuente3,1982-09-04,,Male,M,"[""2004 Summer | GBR |  | 100 men metres | "", ""2004 Summer | GBR | Great Britain | 100 4 athletics men metres relay x | Gold"", ""2004 Summer | GBR | Great Britain | 100 4 men metres relay x | Gold"", ""2004 Summer | GBR | Great Britain | 100 athletics men metres | ""]","[""2004 Summer | GBR | Great Britain | 100 4 athletics men metres relay x | Gold""]","[""2004 Summer | GBR | Great Britain | 100 4 athletics men metres relay x | Gold""]","[""2004 Summer | GBR |  | 100 men metres | "", ""2004 Summer | GBR | Great Britain | 100 4 men metres relay x | Gold"", ""2004 Summer | GBR | Great Britain | 100 athletics men metres | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
61655,Dietmar Gedde,227293,Dietmar Gedde,fuente1 | fuente2 | fuente3,1936-02-11,,Male,M,"[""1964 Summer | GER | Eberhard Reschwamm | dinghy heavyweight open person two | "", ""1964 Summer | GER | Tantalus | dinghy heavyweight mixed person sailing two | "", ""1972 Summer | GDR | East Germany | dinghy heavyweight mixed person sailing two | "", ""1972 Summer | GDR | Herbert Hüttner | dinghy heavyweight open person two | ""]","[""1972 Summer | GDR | East Germany | dinghy heavyweight mixed person sailing two | ""]","[""1972 Summer | GDR | East Germany | dinghy heavyweight mixed person sailing two | ""]","[""1964 Summer | GER | Eberhard Reschwamm | dinghy heavyweight open person two | "", ""1964 Summer | GER | Tantalus | dinghy heavyweight mixed person sailing two | "", ""1972 Summer | GDR | Herbert Hüttner | dinghy heavyweight open person two | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
130,Katja Nolten,277071,Katja Nolten,fuente1 | fuente2 | fuente3,1970-02-16,,Female,F,"[""1988 Summer | FRG |  | singles women | "", ""1988 Summer | FRG | Olga Nemes | doubles women | "", ""1988 Summer | FRG | West Germany | doubles table tennis women | "", ""1988 Summer | FRG | West Germany | singles table tennis women | ""]","[""1988 Summer | FRG | West Germany | doubles table tennis women | ""]","[""1988 Summer | FRG | West Germany | doubles table tennis women | ""]","[""1988 Summer | FRG |  | singles women | "", ""1988 Summer | FRG | Olga Nemes | doubles women | "", ""1988 Summer | FRG | West Germany | singles table tennis women | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
376,John McDonald,266989,John Mcdonald,fuente1 | fuente2 | fuente3,1965-05-28,,Male,M,"[""1988 Summer | CAN |  | individual men | "", ""1988 Summer | CAN | Canada | archery individual men | "", ""1988 Summer | CAN | Canada | archery men team | "", ""1988 Summer | CAN | Canada | men team | ""]","[""1988 Summer | CAN | Canada | archery men team | ""]","[""1988 Summer | CAN | Canada | archery men team | ""]","[""1988 Summer | CAN |  | individual men | "", ""1988 Summer | CAN | Canada | archery individual men | "", ""1988 Summer | CAN | Canada | men team | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
69795,Edgar Itt,241021,Edgar Itt,fuente1 | fuente2 | fuente3,1967-06-08,,Male,M,"[""1988 Summer | FRG |  | 400 hurdles men metres | "", ""1988 Summer | FRG | West Germany | 4 400 athletics men metres relay x | Bronze"", ""1988 Summer | FRG | West Germany | 4 400 men metres relay x | Bronze"", ""1988 Summer | FRG | West Germany | 400 athletics hurdles men metres | ""]","[""1988 Summer | FRG | West Germany | 4 400 athletics men metres relay x | Bronze""]","[""1988 Summer | FRG | West Germany | 4 400 athletics men metres relay x | Bronze""]","[""1988 Summer | FRG |  | 400 hurdles men metres | "", ""1988 Summer | FRG | West Germany | 4 400 men metres relay x | Bronze"", ""1988 Summer | FRG | West Germany | 400 athletics hurdles men metres | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
78609,Ulis Williams,324663,Ulis Williams,fuente1 | fuente2 | fuente3,1941-10-24,,Male,M,"[""1964 Summer | USA |  | 400 men metres | "", ""1964 Summer | USA | United States | 4 400 athletics men metres relay x | Gold"", ""1964 Summer | USA | United States | 4 400 men metres relay x | Gold"", ""1964 Summer | USA | United States | 400 athletics men metres | ""]","[""1964 Summer | USA | United States | 4 400 athletics men metres relay x | Gold""]","[""1964 Summer | USA | United States | 4 400 athletics men metres relay x | Gold""]","[""1964 Summer | USA |  | 400 men metres | "", ""1964 Summer | USA | United States | 4 400 men metres relay x | Gold"", ""1964 Summer | USA | United States | 400 athletics men metres | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
120714,Jade Jones,244081,Jade Jones,fuente1 | fuente2 | fuente3,1993-03-21,,Female,F,"[""2010 Summer Youth | GBR |  | 55 girls kilograms yog | Gold"", ""2012 Summer | GBR |  | featherweight women | Gold"", ""2012 Summer | GBR | Great Britain | featherweight taekwondo women | Gold"", ""2016 Summer | GBR |  | featherweight women | Gold"", ""2016 Summer | GBR | Great Britain | featherweight taekwondo women | Gold"", ""2020 Summer | GBR |  | featherweight women | ""]","[""2016 Summer | GBR | Great Britain | featherweight taekwondo women | Gold""]","[""2016 Summer | GBR | Great Britain | featherweight taekwondo women | Gold""]","[""2010 Summer Youth | GBR |  | 55 girls kilograms yog | Gold"", ""2012 Summer | GBR |  | featherweight women | Gold"", ""2012 Summer | GBR | Great Britain | featherweight taekwondo women | Gold"", ""2016 Summer | GBR |  | featherweight women | Gold"", ""2020 Summer | GBR |  | featherweight women | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.166667,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
73418,Jaiye Abidoye,183845,Jaiye Abidoye,fuente1 | fuente2 | fuente3,1942-05-11,,Male,M,"[""1972 Summer | NGR |  | 1 500 men metres | "", ""1972 Summer | NGR |  | 800 men metres | "", ""1972 Summer | NGR | Nigeria | 1 500 athletics men metres | "", ""1972 Summer | NGR | Nigeria | 800 athletics men metres | "", ""2020 Summer | FRA | France | 200m freestyle men | ""]","[""1972 Summer | NGR | Nigeria | 1 500 athletics men metres | "", ""2020 Summer | FRA | France | 200m 4 freestyle men relay team x | ""]","[""1972 Summer | NGR | Nigeria | 1 500 athletics men metres | ""]","[""1972 Summer | NGR |  | 1 500 men metres | "", ""1972 Summer | NGR |  | 800 men metres | "", ""1972 Summer | NGR | Nigeria | 800 athletics men metres | "", ""2020 Summer | FRA | France | 200m freestyle men | ""]","[""2020 Summer | FRA | France | 200m 4 freestyle men relay team x | ""]","[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.166667,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
182292,Diana Wilson,324871,Diana Wilson,fuente2 | fuente3,,,F,F,"[""1968 Summer | IRL | Ireland | day equestrianism event individual mixed three | "", ""1968 Summer | IRL | Ireland | day equestrianism event mixed team three | ""]","[""1968 Summer | IRL | Ireland | day equestrianism event mixed team three | ""]","[""1968 Summer | IRL | Ireland | day equestrianism event mixed team three | ""]","[""1968 Summer | IRL | Ireland | day equestrianism event individual mixed three | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.5,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
