clasificacion,componente_evento,clave_logica_post,filas,eventos_originales,evento_canonico,cantidad_eventos_originales,extras_inducidos_por_alias,campos_conflictivos,ids_participacion,id_atleta,id_edicion,id_noc,equipo,medalla
ALIAS_INDUCED_MERGEABLE,EV500037,1346|43|113|223|United States|Gold,2,113;2033,113,2,1,,3019;327880,1346,43,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1346|45|113|223|United States|Gold,2,113;2033,113,2,1,,3020;327881,1346,45,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1346|47|113|223|United States|Silver,2,113;2033,113,2,1,,3021;327882,1346,47,223,United States,Silver
ALIAS_INDUCED_MERGEABLE,EV500037,1347|41|113|223|United States|Gold,3,113;2033,113,2,1,,3022;335653;600584,1347,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1348|41|113|14|Australia|Bronze,2,113;2033,113,2,1,,3023;338211,1348,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1348|43|113|14|Australia|Bronze,2,113;2033,113,2,1,,3024;338212,1348,43,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1349|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3025;346492;609579,1349,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1351|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3027;348302;611087,1351,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1352|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3028;348304;611088,1352,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1353|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3029;348591;611337,1353,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1354|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3030;349612;612131,1354,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1355|41|113|38|Canada|,3,113;2033,113,2,1,,3031;350635;612982,1355,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1356|41|113|14|Australia|Bronze,2,113;2033,113,2,1,,3032;352539,1356,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1357|41|113|223|United States|Gold,3,113;2033,113,2,1,,3033;352870;614876,1357,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1357|43|113|223|United States|Gold,2,113;2033,113,2,1,,3034;352871,1357,43,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1358|41|113|170|Puerto Rico|,3,113;2033,113,2,1,,3035;352905;614911,1358,41,170,Puerto Rico,
ALIAS_INDUCED_MERGEABLE,EV500037,1359|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3036;354568;616339,1359,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1360|41|113|150|Netherlands|,2,113;2033,113,2,1,,3037;358884,1360,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1361|41|113|150|Netherlands|,2,113;2033,113,2,1,,3038;358997,1361,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1362|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3039;363396;623738,1362,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1362|43|113|14|Australia|Bronze,2,113;2033,113,2,1,,3040;363397,1362,43,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1363|41|113|38|Canada|,3,113;2033,113,2,1,,3041;364701;624822,1363,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1365|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3043;369153;628414,1365,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1365|43|113|14|Australia|Bronze,2,113;2033,113,2,1,,3044;369154,1365,43,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1365|45|113|14|Australia|Silver,2,113;2033,113,2,1,,3045;369155,1365,45,14,Australia,Silver
ALIAS_INDUCED_MERGEABLE,EV500037,1366|41|113|223|United States|Gold,2,113;2033,113,2,1,,3046;376099,1366,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1366|43|113|223|United States|Gold,2,113;2033,113,2,1,,3047;376100,1366,43,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1366|45|113|223|United States|Gold,2,113;2033,113,2,1,,3048;376101,1366,45,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1367|41|113|38|Canada|,2,113;2033,113,2,1,,3049;378178,1367,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1368|41|113|108|Japan|,3,113;2033,113,2,1,,3050;381675;638441,1368,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1369|41|113|108|Japan|,3,113;2033,113,2,1,,3051;381744;638495,1369,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1370|41|113|150|Netherlands|,3,113;2033,113,2,1,,3052;385349;641385,1370,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1372|41|113|223|United States|Gold,3,113;2033,113,2,1,,3054;391236;646250,1372,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1373|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3055;397409;651120,1373,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1374|41|113|108|Japan|,3,113;2033,113,2,1,,3056;398364;651878,1374,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1375|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3057;398502;651996,1375,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1375|43|113|14|Australia|Bronze,2,113;2033,113,2,1,,3058;398503,1375,43,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1375|45|113|14|Australia|Silver,2,113;2033,113,2,1,,3059;398504,1375,45,14,Australia,Silver
ALIAS_INDUCED_MERGEABLE,EV500037,1375|47|113|14|Australia|Bronze,2,113;2033,113,2,1,,3060;398505,1375,47,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1376|41|113|223|United States|Gold,2,113;2033,113,2,1,,3061;398786,1376,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1376|43|113|223|United States|Gold,2,113;2033,113,2,1,,3062;398787,1376,43,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1376|45|113|223|United States|Gold,2,113;2033,113,2,1,,3063;398788,1376,45,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1377|41|113|223|United States|Gold,3,113;2033,113,2,1,,3064;398820;652269,1377,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1379|41|113|14|Australia|Bronze,2,113;2033,113,2,1,,3066;405291,1379,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1380|41|113|108|Japan|,3,113;2033,113,2,1,,3067;410859;661781,1380,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1381|41|113|38|Canada|,3,113;2033,113,2,1,,3068;423082;671507,1381,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1382|41|113|150|Netherlands|,3,113;2033,113,2,1,,3069;429316;676456,1382,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1383|41|113|108|Japan|,3,113;2033,113,2,1,,3070;429558;676676,1383,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1384|41|113|108|Japan|,3,113;2033,113,2,1,,3071;429966;676942,1384,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1385|41|113|150|Netherlands|,3,113;2033,113,2,1,,3072;432517;678884,1385,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1386|41|113|150|Netherlands|,2,113;2033,113,2,1,,3073;441657,1386,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1388|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3075;442797;686938,1388,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1390|41|113|14|Australia|Bronze,2,113;2033,113,2,1,,3077;444802,1390,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1393|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3080;448033;691246,1393,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1394|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3081;448206;691381,1394,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1396|41|113|223|United States|Gold,3,113;2033,113,2,1,,3083;453994;696163,1396,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1398|41|113|108|Japan|,3,113;2033,113,2,1,,3085;460026;701104,1398,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1398|43|113|108|Japan|Silver,2,113;2033,113,2,1,,3086;460027,1398,43,108,Japan,Silver
ALIAS_INDUCED_MERGEABLE,EV500037,1399|41|113|38|Canada|,3,113;2033,113,2,1,,3087;460520;701515,1399,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1400|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3088;461629;702450,1400,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1400|43|113|14|Australia|Bronze,2,113;2033,113,2,1,,3089;461630,1400,43,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1401|41|113|38|Canada|,3,113;2033,113,2,1,,3090;461852;702643,1401,41,38,Canada,
