filas_fuente4_total,id_fuente4,matches_fuente2,cantidad_matches,estado,criterio
100,20,"[""20""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,20,"[""20""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,20,"[""20""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,20,"[""20""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,20,"[""20""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,20,"[""20""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,21,"[""21""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,22,"[""22""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,23,"[""23""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,23,"[""23""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,24,"[""24""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,24,"[""24""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,24,"[""24""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,25,"[""25""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,26,"[""26""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,27,"[""27""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,28,"[""28""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,28,"[""28""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,29,"[""29""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,30,"[""30""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,30,"[""30""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,31,"[""31""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,32,"[""32""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,33,"[""33""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,33,"[""33""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,34,"[""34""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,35,"[""35""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
