clave_logica_pre,filas,extras_duplicados_preexistentes,id_atleta,id_edicion,id_evento_original,id_noc,equipo,medalla,ids_participacion,componentes_safe_relacionados
62280|2|994|73||,2,1,62280,2,994,73,,,131586;131587,
62284|2|999|73||,2,1,62284,2,999,73,,,131593;131594,
62416|2|1010|73||,2,1,62416,2,1010,73,,,131785;131786,
62452|2|1010|73||,2,1,62452,2,1010,73,,,131850;131851,
62543|2|1010|73||,2,1,62543,2,1010,73,,,131980;131981,
62574|2|994|73||,2,1,62574,2,994,73,,,132024;132025,
62584|2|1007|73||,2,1,62584,2,1007,73,,,132041;132042,
62887|2|999|73|Sidi-Fekkar|,2,1,62887,2,999,73,Sidi-Fekkar,,132496;132497,
63032|2|999|73||,2,1,63032,2,999,73,,,132711;132712,
63414|2|993|73|Texier II|,2,1,63414,2,993,73,Texier II,,133241;133242,
63414|2|999|73|Texier II|,2,1,63414,2,999,73,Texier II,,133245;133246,
63414|2|994|73|Texier II|,2,1,63414,2,994,73,Texier II,,133247;133248,
63414|2|1010|73|Texier II|,2,1,63414,2,1010,73,Texier II,,133249;133250,
63415|2|993|73|Texier I|,2,1,63415,2,993,73,Texier I,,133251;133252,
63415|2|999|73|Texier I|,2,1,63415,2,999,73,Texier I,,133255;133256,
63415|2|994|73|Texier I|,2,1,63415,2,994,73,Texier I,,133257;133258,
63415|2|1010|73|Texier I|,2,1,63415,2,1010,73,Texier I,,133259;133260,
63624|2|994|73||,2,1,63624,2,994,73,,,133546;133547,
77626|3|1103|223||,2,1,77626,3,1103,223,,,163409;163410,
77816|3|1138|223||,2,1,77816,3,1138,223,,,163832;163833,
77816|3|1163|223||,2,1,77816,3,1163,223,,,163834;163835,
77831|3|389|223||,2,1,77831,3,389,223,,,163863;163864,
77897|3|384|223||,2,1,77897,3,384,223,,,163995;163996,
77947|3|1154|223||,2,1,77947,3,1154,223,,,164104;164105,
77947|3|1047|223||,2,1,77947,3,1047,223,,,164107;164108,
78018|3|392|223||,2,1,78018,3,392,223,,,164269;164270,
78018|3|1109|223||,2,1,78018,3,1109,223,,,164273;164274,
79662|2|343|73|Blue|,2,1,79662,2,343,73,Blue,,167723;167725,
80073|39|1225|94||,2,1,80073,39,1225,94,,,168681;168684,
91384|44|1308|72||,2,1,91384,44,1308,72,,,196779;196783,
101533|3|1457|223||,2,1,101533,3,1457,223,,,222070;222071,
145501|38|1900|43|China|,2,1,145501,38,1900,43,China,,308266;577997,EV500040
120610|50|1901|43|China|,2,1,120610,50,1901,43,China,,308267;577998,
