componente_evento,deporte,disciplina,eventos,nombres,fuentes,ediciones,participaciones_afectadas,deduplicaciones,razon_semantica
EV500044,athletics,athletics,157;2123;2959,"Decathlon, Men (Olympic) | Athletics Men's Decathlon | Men's Decathlon",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 6 | 61 | 7 | 8,2320,299,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500047,rugby,rugby,203;2332,"Rugby, Men (Olympic) | Rugby Men's Rugby",fuente1 | fuente2 | fuente3,2 | 5 | 7 | 8,442,164,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500048,tug of war,tug of war,211;1903,"Tug-Of-War, Men (Olympic) | Tug-Of-War Men's Tug-Of-War",fuente1 | fuente2 | fuente3 | fuente4,2 | 3 | 4 | 5 | 6 | 7,428,137,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500050,fencing,fencing,228;2005;2722,"Sabre, Team, Men (Olympic) | Fencing Men's Sabre, Team | Men's Sabre Team",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 58 | 6 | 61 | 7 | 8,4254,168,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500051,fencing,fencing,241;2052;2721,"Sabre, Individual, Men (Olympic) | Fencing Men's Sabre, Individual | Men's Sabre Individual",fuente1 | fuente2 | fuente3,1 | 10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,3918,301,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500052,cycling,cycling track,244;2101;2940,"Sprint, Men (Olympic) | Cycling Men's Sprint | Men's Sprint",fuente1 | fuente2 | fuente3,1 | 10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 61 | 7 | 8,2229,287,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500064,football,football,303;1902,"Football, Men (Olympic) | Football Men's Football",fuente1 | fuente2 | fuente3 | fuente4,10 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 7 | 8,17421,6454,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500065,hockey,hockey,338;1944,"Hockey, Women (Olympic) | Hockey Women's Hockey",fuente1 | fuente2 | fuente3 | fuente4,32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58,4586,1622,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500067,fencing,fencing,358;1955;2731,"Foil, Individual, Men (Olympic) | Fencing Men's Foil, Individual | Men's Foil Individual",fuente1 | fuente2 | fuente3,1 | 10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 6 | 61 | 7 | 8,4191,460,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500068,athletics,athletics,383;1928;2736,"Shot Put, Men (Olympic) | Athletics Men's Shot Put | Men's Shot Put",fuente1 | fuente2 | fuente3 | fuente4,1 | 10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,2224,266,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500069,athletics,athletics,393;2097;2951,"Discus Throw, Men (Olympic) | Athletics Men's Discus Throw | Men's Discus Throw",fuente1 | fuente2 | fuente3,1 | 10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,2655,286,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500070,athletics,athletics,395;2016;2869,"Hammer Throw, Men (Olympic) | Athletics Men's Hammer Throw | Men's Hammer Throw",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,2064,240,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500071,athletics,athletics,398;2062;2696,"Javelin Throw, Men (Olympic) | Athletics Men's Javelin Throw | Men's Javelin Throw",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,2217,280,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500072,fencing,fencing,406;2242;2945,"Foil, Individual, Women (Olympic) | Fencing Women's Foil, Individual | Women's Foil Individual",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61 | 8,2554,230,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
